paper_name,id,abstract,triage_label,lane,corpus_stage,mechanism,why_it_matters,follow_up,authors,year,source_ids,primary_id,paper_id,categories,queries,discovery_methods,designations,assignment_rank,assignment_score,search_score,primary_reader,metadata_verified,body_inspected,evidence_read,abstract_reviewed,inspection_status,triage_status,stages_seen,source_registry_paths,source_triage_paths,metadata_status,triage_count
A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,arxiv:1011.0686,"Sequential prediction problems such as imitation learning, where future observations depend on previous predictions (actions), violate the common i.i.d. assumptions made in statistical learning. This leads to poor performance in theory and often in practice. Some recent approaches provide stronger guarantees in this setting, but remain somewhat unsatisfactory as they train either non-stationary or stochastic policies and require a large number of iterations. In this paper, we propose a new iterative algorithm, which trains a stationary deterministic policy, that can be seen as a no regret algorithm in an online learning setting. We show that any such no regret algorithm, combined with additional reduction assumptions, must find a policy with good performance under the distribution of observations it induces in such sequential settings. We demonstrate that this new approach outperforms previous approaches on two challenging imitation learning problems and a benchmark sequence labeling problem.",high,A8,expansion_round_2,DAgger-style online aggregation queries expert labels on states visited by the learner and uses no-regret guarantees to control distribution shift.,It is a foundational active data-collection baseline for deciding when fleet rollouts need corrective labels.,true,"Stephane Ross, Geoffrey J. Gordon, J. Andrew Bagnell",2010,arxiv:1011.0686 | paperid:3771774981108717184,arxiv:1011.0686,3771774981108717184,cs.LG | cs.AI | stat.ML,q34-found-original-dagger,related-references,,,,0.021976985474438784,A1,true,true,C:\Users\moham\Documents\Codex\2026-08-29\organize-x20\work\reflex-research\program-a\A6\evidence\arxiv_1011.0686.json,true,complete,triaged,expansion_round_2,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A2/expansion-pool.json | A2/expansion-pool.jsonl | A3/paper-registry.json | A3/round2-registry.json | A4/expansion/expansion-registry.jsonl | A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q34-found-original-dagger.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl,complete,1
Planning to Be Surprised: Optimal Bayesian Exploration in Dynamic Environments,arxiv:1103.5708,"To maximize its success, an AGI typically needs to explore its initially unknown world. Is there an optimal way of doing so? Here we derive an affirmative answer for a broad class of environments.",high,A8,expansion_round_2,Bayesian planning selects actions that trade off immediate reward with expected information gain about unknown dynamics.,It provides a formal decision rule for choosing fleet interactions whose observations reduce uncertainty about the environment.,true,,,arxiv:1103.5708 | paperid:5758982126810484016,,,,,,,,,0.025138041267073523,A8,,,,,,triaged,expansion_round_2,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl,complete,1
Entropy Search for Information-Efficient Global Optimization,arxiv:1112.1217,"Contemporary global optimization algorithms are based on local measures of utility, rather than a probability measure over location and value of the optimum. They thus attempt to collect low function values, not to learn about the optimum. The reason for the absence of probabilistic global optimizers is that the corresponding inference problem is intractable in several ways. This paper develops desiderata for probabilistic optimization algorithms, then presents a concrete algorithm which addresses each of the computational intractabilities with a sequence of approximations and explicitly adresses the decision problem of maximizing information gain from each evaluation.",high,A8,expansion_round_3,Entropy search selects evaluations that maximally reduce posterior uncertainty about the optimizer’s location.,It is a transferable Bayesian experiment-design rule for choosing the next informative fleet query.,true,,,arxiv:1112.1217 | paperid:5495336183052117905,,,,,,,,,0.023171285779191277,A8,,,,,,triaged,expansion_round_3,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl,complete,1
(More) Efficient Reinforcement Learning via Posterior Sampling,arxiv:1306.0940,"Most provably-efficient learning algorithms introduce optimism about poorly-understood states and actions to encourage exploration. We study an alternative approach for efficient exploration, posterior sampling for reinforcement learning (PSRL). This algorithm proceeds in repeated episodes of known duration. At the start of each episode, PSRL updates a prior distribution over Markov decision processes and takes one sample from this posterior. PSRL then follows the policy that is optimal for this sample during the episode. The algorithm is conceptually simple, computationally efficient and allows an agent to encode prior knowledge in a natural way. We establish an O(τ S √AT) bound on the expected regret, where T is time, τ is the episode length and S and A are the cardinalities of the state and action spaces. This bound is one of the first for an algorithm not based on optimism, and close to the state of the art for any reinforcement learning algorithm. We show through simulation that PSRL significantly outperforms existing algorithms with similar regret bounds.",high,A8,expansion_round_3,"Posterior sampling draws a plausible model and follows its optimal policy, producing temporally coherent uncertainty-driven exploration.",It is a foundational epistemic-uncertainty rule for selecting informative trajectories.,true,,,arxiv:1306.0940 | paperid:1151609833634438556,,,,,,,,,0.022377622377622378,A8,,,,,,triaged,expansion_round_3,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl,complete,1
Predictive Entropy Search for Efficient Global Optimization of Black-box Functions,arxiv:1406.2541,"We propose a novel information-theoretic approach for Bayesian optimization called Predictive Entropy Search (PES). At each iteration, PES selects the next evaluation point that maximizes the expected information gained with respect to the global maximum. PES codifies this intractable acquisition function in terms of the expected reduction in the differential entropy of the predictive distribution. This reformulation allows PES to obtain approximations that are both more accurate and efficient than other alternatives such as Entropy Search (ES). Furthermore, PES can easily perform a fully Bayesian treatment of the model hyperparameters while ES cannot. We evaluate PES in both synthetic and real-world applications, including optimization problems in machine learning, finance, biotechnology, and robotics. We show that the increased accuracy of PES leads to significant gains in optimization performance.",high,A8,expansion_round_3,Predictive entropy search selects evaluations expected to reduce uncertainty about the location of the optimum.,It is a transferable acquisition rule for choosing costly robot experiments with maximum decision value.,true,,,arxiv:1406.2541 | paperid:6055344540442798266,,,,,,,,,0.021116138763197588,A8,,,,,,triaged,expansion_round_3,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl,complete,1
Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,arxiv:1506.02142,"Deep learning tools have gained tremendous attention in applied machine learning. However such tools for regression and classification do not capture model uncertainty. In comparison, Bayesian models offer a mathematically grounded framework to reason about model uncertainty, but usually come with a prohibitive computational cost. In this paper we develop a new theoretical framework casting dropout training in deep neural networks (NNs) as approximate Bayesian inference in deep Gaussian processes. A direct result of this theory gives us tools to model uncertainty with dropout NNs -- extracting information from existing models that has been thrown away so far. This mitigates the problem of representing uncertainty in deep learning without sacrificing either computational complexity or test accuracy. We perform an extensive study of the properties of dropout's uncertainty. Various network architectures and non-linearities are assessed on tasks of regression and classification, using MNIST as an example. We show a considerable improvement in predictive log-likelihood and RMSE compared to existing state-of-the-art methods, and finish by using dropout's uncertainty in deep reinforcement learning.",high,A8,expansion_round_2,Monte Carlo dropout approximates a Bayesian posterior and estimates predictive uncertainty from stochastic forward passes.,It is a foundational uncertainty estimator for deciding which fleet predictions or states warrant more data.,true,,,arxiv:1506.02142 | paperid:8865392551040962328,arxiv:1506.02142,8865392551040962328,,,related-papers-round3,,,,0.020001515266308053,A1,,,,,,triaged,expansion_round_2,A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A4/expansion/round3/registry.jsonl | A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl,complete,1
Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,arxiv:1507.00814,"Achieving efficient and scalable exploration in complex domains poses a major challenge in reinforcement learning. While Bayesian and PAC-MDP approaches to the exploration problem offer strong formal guarantees, they are often impractical in higher dimensions due to their reliance on enumerating the state-action space. Hence, exploration in complex domains is often performed with simple epsilon-greedy methods. In this paper, we consider the challenging Atari games domain, which requires processing raw pixel inputs and delayed rewards. We evaluate several more sophisticated exploration strategies, including Thompson sampling and Boltzman exploration, and propose a new exploration method based on assigning exploration bonuses from a concurrently learned model of the system dynamics. By parameterizing our learned model with a neural network, we are able to develop a scalable and efficient approach to exploration bonuses that can be applied to tasks with complex, high-dimensional state spaces. In the Atari domain, our method provides the most consistent improvement across a range of games that pose a major challenge for prior methods. In addition to raw game-scores, we also develop an AUC-100 metric for the Atari Learning domain to evaluate the impact of exploration on this benchmark.",high,A8,expansion_round_2,"A learned predictive model rewards actions whose outcomes are difficult to predict, encouraging exploration of uncertain dynamics.",It connects model disagreement or prediction error to the next physical interaction a fleet should attempt.,true,,2015,arxiv:1507.00814 | paperid:5792422353090077341,,,,,,,,,0.023346828609986506,A8,,,,,,triaged,expansion_round_2 | expansion_round_3,A2/expansion-pool.json | A2/expansion-pool.jsonl | A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl,complete,2
Supersizing Self-supervision: Learning to Grasp from 50K Tries and 700 Robot Hours,arxiv:1509.06825,"Current learning-based robot grasping approaches exploit human-labeled datasets for training the models. However, there are two problems with such a methodology: (a) since each object can be grasped in multiple ways, manually labeling grasp locations is not a trivial task; (b) human labeling is biased by semantics. While there have been attempts to train robots using trial-and-error experiments, the amount of data used in such experiments remains substantially low and hence makes the learner prone to over-fitting. In this paper, we take the leap of increasing the available training data to 40 times more than prior work, leading to a dataset size of 50K data points collected over 700 hours of robot grasping attempts. This allows us to train a Convolutional Neural Network (CNN) for the task of predicting grasp locations without severe overfitting. In our formulation, we recast the regression problem to an 18-way binary classification over image patches. We also present a multi-stage learning approach where a CNN trained in one stage is used to collect hard negatives in subsequent stages. Our experiments clearly show the benefit of using large-scale datasets (and multi-stage training) for the task of grasping. We also compare to several baselines and show state-of-the-art performance on generalization to unseen objects for grasping.",high,A8,expansion_round_1,A robot autonomously collects tens of thousands of grasp attempts and trains from self-supervised success labels.,It demonstrates that scalable autonomous interaction can supply broad coverage and objective usefulness signals without manual labels.,true,,,arxiv:1509.06825 | paperid:4687128730814101581,arxiv:1509.06825,4687128730814101581,,,related-papers,,,,0.707081184821609,A8,,,,,,triaged,expansion_round_1,A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A8/work/expansion-triage.jsonl,complete,1
Variational Information Maximisation for Intrinsically Motivated Reinforcement Learning,arxiv:1509.08731,"The mutual information is a core statistical quantity that has applications in all areas of machine learning, whether this is in training of density models over multiple data modalities, in maximising the efficiency of noisy transmission channels, or when learning behaviour policies for exploration by artificial agents. Most learning algorithms that involve optimisation of the mutual information rely on the Blahut-Arimoto algorithm --- an enumerative algorithm with exponential complexity that is not suitable for modern machine learning applications. This paper provides a new approach for scalable optimisation of the mutual information by merging techniques from variational inference and deep learning. We develop our approach by focusing on the problem of intrinsically-motivated learning, where the mutual information forms the definition of a well-known internal drive known as empowerment. Using a variational lower bound on the mutual information, combined with convolutional networks for handling visual input streams, we develop a stochastic optimisation algorithm that allows for scalable information maximisation and empowerment-based reasoning directly from pixels to actions.",high,A8,expansion_round_2,A variational lower bound rewards actions that make future states informative about latent goals or causes.,It provides an information-gain formulation for discovering experience that expands controllable and explanatory representations.,true,,2015,arxiv:1509.08731 | paperid:3491307798748980123,,,,,,,,,0.02190385981529718,A8,,,,,,triaged,expansion_round_2 | expansion_round_3,A2/expansion-pool.json | A2/expansion-pool.jsonl | A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl,complete,2
Deep Exploration via Bootstrapped DQN,arxiv:1602.04621,"Efficient exploration in complex environments remains a major challenge for reinforcement learning. We propose bootstrapped DQN, a simple algorithm that explores in a computationally and statistically efficient manner through use of randomized value functions. Unlike dithering strategies such as epsilon-greedy exploration, bootstrapped DQN carries out temporally-extended (or deep) exploration; this can lead to exponentially faster learning. We demonstrate these benefits in complex stochastic MDPs and in the large-scale Arcade Learning Environment. Bootstrapped DQN substantially improves learning times and performance across most Atari games.",high,A8,expansion_round_2,Bootstrapped value-function heads maintain distinct uncertainty estimates that drive temporally consistent exploratory policies.,It is a foundational epistemic-uncertainty mechanism for selecting coherent exploratory rollouts rather than independent random actions.,true,,,arxiv:1602.04621 | paperid:7307488305898738753,,,,,,,,,0.02139524297257312,A8,,,,,,triaged,expansion_round_2 | expansion_round_3,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl,complete,2
