pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
0,1,7081661685753858384,An algorithm for clock synchronization with the gradient property in sensor networks,MEDIUM,B1,An algorithm for clock synchronization with the gradient property in sensor networks,arxiv:0704.3890,"We introduce a distributed algorithm for clock synchronization in sensor networks. Our algorithm assumes that nodes in the network only know their immediate neighborhoods and an upper bound on the network's diameter. Clock-synchronization messages are only sent as part of the communication, assumed reasonably frequent, that already takes place among nodes. The algorithm has the gradient property of [2], achieving an O(1) worst-case skew between the logical clocks of neighbors. As in the case of [3,8], the algorithm's actions are such that no constant lower bound exists on the rate at which logical clocks progress in time, and for this reason the lower bound of [2,5] that forbids constant skew between neighbors does not apply.",medium,B1,1,B1=medium,B1=A neighborhood-only algorithm achieves bounded local logical-clock skew using communication already present in a sensor network.,,B1=true,primary_assignment,"Rodolfo M. Pussente, Valmir C. Barbosa",2007,arxiv:0704.3890,arxiv:0704.3890,7081661685753858384,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
1,2,arxiv:0809.2350,Random Linear Network Coding For Time Division Duplexing: When To Stop Talking And Start Listening,MEDIUM,B5,Random Linear Network Coding For Time Division Duplexing: When To Stop Talking And Start Listening,arxiv:0809.2350,,medium,B5,1,B5=medium,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Daniel E. Lucani, Milica Stojanovic, Muriel Médard",,,arxiv:0809.2350,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
2,3,7952815850758365402,A Statistical Approach to Performance Monitoring in Soft Real-Time Distributed Systems,HIGH,B7,A Statistical Approach to Performance Monitoring in Soft Real-Time Distributed Systems,arxiv:0901.2685,"Soft real-time applications require timely delivery of messages conforming to the soft real-time constraints. Satisfying such requirements is a complex task both due to the volatile nature of distributed environments, as well as due to numerous domain-specific factors that affect message latency. Prompt detection of the root-cause of excessive message delay allows a distributed system to react accordingly. This may significantly improve compliance with the required timeliness constraints. In this work, we present a novel approach for distributed performance monitoring of soft-real time distributed systems. We propose to employ recent distributed algorithms from the statistical signal processing and learning domains, and to utilize them in a different context of online performance monitoring and root-cause analysis, for pinpointing the reasons for violation of performance requirements. Our approach is general and can be used for monitoring of any distributed system, and is not limited to the soft real-time domain. We have implemented the proposed framework in TransFab, an IBM prototype of soft real-time messaging fabric. In addition to root-cause analysis, the framework includes facilities to resolve resource allocation problems, such as memory and bandwidth deficiency. The experiments demonstrate that the system can identify and resolve latency problems in a timely fashion.",high,B7,1,B7=high,B7=Uses statistical signal-processing methods in TransFab to monitor latency violations and identify distributed resource causes online.,B7=Root-cause localization of message delay and resource deficiency is directly transferable to middleware telemetry.,B7=true,primary_assignment,,,arxiv:0901.2685,arxiv:0901.2685,7952815850758365402,,13-causal-profiling,,,B7,false,false,false,false,b3/raw-q13-causal-profiling.json | b3/registry.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q25-failure-localization.json | b7/raw-retrieval/q30-adjacent-distributed.json,b7/abstract-triage.jsonl
3,4,5195814777527052020,Energy Optimal Transmission Scheduling in Wireless Sensor Networks,MEDIUM,B5,Energy Optimal Transmission Scheduling in Wireless Sensor Networks,arxiv:1003.0054,"One of the main issues in the design of sensor networks is energy efficient communication of time-critical data. Energy wastage can be caused by failed packet transmission attempts at each node due to channel dynamics and interference. Therefore transmission control techniques that are unaware of the channel dynamics can lead to suboptimal channel use patterns. In this paper we propose a transmission controller that utilizes different ""grades"" of channel side information to schedule packet transmissions in an optimal way, while meeting a deadline constraint for all packets waiting in the transmission queue. The wireless channel is modeled as a finite-state Markov channel. We are specifically interested in the case where the transmitter has low-grade channel side information that can be obtained based solely on the ACK/NAK sequence for the previous transmissions. Our scheduler is readily implementable and it is based on the dynamic programming solution to the finite-horizon transmission control problem. We also calculate the information theoretic capacity of the finite state Markov channel with feedback containing different grades of channel side information including that, obtained through the ACK/NAK sequence. We illustrate that our scheduler achieves a given throughput at a power level that is fairly close to the fundamental limit achievable over the channel.",medium,B5,1,B5=medium,"B5=The abstract links sensor, observation, action, actuator, or telemetry transport behavior to a robotic episode or control outcome.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Rahul Srivastava, Can Emre Koksal",,arxiv:1003.0054,arxiv:1003.0054,5195814777527052020,,q39-found-realtime,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q39-found-realtime.json,b5/abstract-triage.jsonl
4,5,8811220115148131552,Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,HIGH,B3 | B8,Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,arxiv:1003.0955,"As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.",high,B3 | B8,2,B3=high | B8=medium,B3=Performs precise black-box request tracing and represents causal request paths with component activity graphs. | B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B3=Directly relevant where Reflex services, connectors, or middleware cannot be instrumented internally. | B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B3=true | B8=true,expansion_round_1 | primary_assignment,,2010,arxiv:1003.0955,arxiv:1003.0955,8811220115148131552,,35-classic-tracing | foundational distributed tracing end-to-end latency causal path instrumentation | robot middleware message tracing causal graphs end-to-end latency instrumentation,firecrawl research search-papers,foundational,B3 | B8,false,false,false,true,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/canonical-registry.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b8/canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/foundational-02.json | b8/raw/mechanism-03.json,b3/triage.jsonl | b8/expansion-triage.jsonl
5,1,5889143153570527669,The Low Latency Fault Tolerance System,MEDIUM,B5,The Low Latency Fault Tolerance System,arxiv:1004.1864,"The Low Latency Fault Tolerance (LLFT) system provides fault tolerance for distributed applications, using the leader-follower replication technique. The LLFT system provides application-transparent replication, with strong replica consistency, for applications that involve multiple interacting processes or threads. The LLFT system comprises a Low Latency Messaging Protocol, a Leader-Determined Membership Protocol, and a Virtual Determinizer Framework. The Low Latency Messaging Protocol provides reliable, totally ordered message delivery by employing a direct group-to-group multicast, where the message ordering is determined by the primary replica in the group. The Leader-Determined Membership Protocol provides reconfiguration and recovery when a replica becomes faulty and when a replica joins or leaves a group, where the membership of the group is determined by the primary replica. The Virtual Determinizer Framework captures the ordering information at the primary replica and enforces the same ordering at the backup replicas for major sources of non-determinism, including multi-threading, time-related operations and socket communication. The LLFT system achieves low latency message delivery during normal operation and low latency reconfiguration and recovery when a fault occurs.",medium,B5,1,B5=medium,"B5=The abstract examines event-time processing, late or out-of-order data, stream windows, watermarks, or message ordering.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Wenbing Zhao, P. M. Melliar-Smith, L. E. Moser",,arxiv:1004.1864,arxiv:1004.1864,5889143153570527669,,q12-syn-pubsub | q34-adj-distributed,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q12-syn-pubsub.json | b5/raw-retrieval/q34-adj-distributed.json,b5/abstract-triage.jsonl
6,2,3404356302515280676,Optimal Gradient Clock Synchronization in Dynamic Networks,MEDIUM,B1,Optimal Gradient Clock Synchronization in Dynamic Networks,arxiv:1005.2894,"We study the problem of clock synchronization in highly dynamic networks, where communication links can appear or disappear at any time. The nodes in the network are equipped with hardware clocks, but the rate of the hardware clocks can vary arbitrarily within specific bounds, and the estimates that nodes can obtain about the clock values of other nodes are inherently inaccurate. Our goal in this setting is to output a logical clock at each node such that the logical clocks of any two nodes are not too far apart, and nodes that remain close to each other in the network for a long time are better synchronized than distant nodes. This property is called gradient clock synchronization. Gradient clock synchronization has been widely studied in the static setting, where the network topology does not change. We show that the asymptotically optimal bounds obtained for the static case also apply to our highly dynamic setting: if two nodes remain at distance d from each other for sufficiently long, it is possible to upper bound the difference between their clock values by O(d (D / d)), where D is the diameter of the network. This is known to be optimal even for static networks. Furthermore, we show that our algorithm has optimal stabilization time: when a path of length d appears between two nodes, the time required until the clock skew between the two nodes is reduced to O(d (D / d)) is O(D), which we prove to be optimal. Finally, the techniques employed for the more intricate analysis of the algorithm for dynamic graphs provide additional insights that are also of interest for the static setting. In particular, we establish self-stabilization of the gradient property within O(D) time.",medium,B1,1,B1=medium,B1=Gradient synchronization bounds local skew as a function of network distance despite dynamic connectivity and oscillator variation.,,B1=true,primary_assignment,"Fabian Kuhn, Christoph Lenzen, Thomas Locher, Rotem Oshman",2010,arxiv:1005.2894,arxiv:1005.2894,3404356302515280676,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
7,3,6229494216697741569,Efficient System-Enforced Deterministic Parallelism,MEDIUM,B8,Efficient System-Enforced Deterministic Parallelism,arxiv:1005.3450,"Deterministic execution offers many benefits for debugging, fault tolerance, and security. Running parallel programs deterministically is usually difficult and costly, however - especially if we desire system-enforced determinism, ensuring precise repeatability of arbitrarily buggy or malicious software. Determinator is a novel operating system that enforces determinism on both multithreaded and multi-process computations. Determinator's kernel provides only single-threaded, ""shared-nothing"" address spaces interacting via deterministic synchronization. An untrusted user-level runtime uses distributed computing techniques to emulate familiar abstractions such as Unix processes, file systems, and shared memory multithreading. The system runs parallel applications deterministically both on multicore PCs and across nodes in a cluster. Coarse-grained parallel benchmarks perform and scale comparably to - sometimes better than - conventional systems, though determinism is costly for fine-grained parallel applications.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,,arxiv:1005.3450,arxiv:1005.3450,6229494216697741569,,,,,B8,false,false,false,false,b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl
8,4,arxiv:1007.0522,Diversity Embedded Streaming Erasure Codes (DE-SCo): Constructions and Optimality,HIGH,B5,Diversity Embedded Streaming Erasure Codes (DE-SCo): Constructions and Optimality,arxiv:1007.0522,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Ahmed Badr, Ashish Khisti, Emin Martinian",,,arxiv:1007.0522,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
9,5,210242896464746379,Efficient Deterministic Replay Using Complete Race Detection,MEDIUM,B8,Efficient Deterministic Replay Using Complete Race Detection,arxiv:1107.2003,"Data races can significantly affect the executions of multi-threaded programs. Hence, one has to recur the results of data races to deterministically replay a multi-threaded program. However, data races are concealed in enormous number of memory operations in a program. Due to the difficulty of accurately identifying data races, previous multi-threaded deterministic record/replay schemes for commodity multi-processor system give up to record data races directly. Consequently, they either record all shared memory operations, which brings remarkable slowdown to the production run, or record the synchronization only, which introduces significant efforts to replay. Inspired by the advances in data race detection, we propose an efficient software-only deterministic replay scheme for commodity multi-processor systems, which is named RacX. The key insight of RacX is as follows: although it is NP-hard to accurately identify the existence of data races between a pair of memory operations, we can find out all potential data races in a multi-threaded program, in which the false positives can be reduced to a small amount with our automatic false positive reduction techniques. As a result, RacX can efficiently monitor all potential data races to deterministically replay a multi-threaded program. To evaluate RacX, we have carried out experiments over a number of well-known multi-threaded programs from SPLASH-2 benchmark suite and large-scale commercial programs. RacX can precisely recur production runs of these programs with value determinism. Averagely, RacX causes only about 1.21%, 1.89%, 2.20%, and 8.41% slowdown to the original run during recording (for 2-, 4-, 8- and 16-thread programs, respectively). The soundness, efficiency, scalability, and portability of RacX well demonstrate its superiority.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2011,arxiv:1107.2003,arxiv:1107.2003,210242896464746379,,foundational deterministic replay debugging distributed systems record replay,firecrawl research search-papers,foundational,B8,false,false,false,false,b3/raw-q25-replay.json | b3/registry.json | b8/canonical-registry.json | b8/expansion-registry.json | b8/raw/foundational-01.json,b8/expansion-triage.jsonl
