pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
0,arxiv:0710.3742,1,HIGH,A2,Bayesian Online Changepoint Detection,arxiv:0710.3742,"Changepoints are abrupt variations in the generative parameters of a data sequence. Online detection of changepoints is useful in modelling and prediction of time series in application areas such as finance, biometrics, and robotics. While frequentist methods have yielded online filtering and prediction techniques, most Bayesian papers have focused on the retrospective segmentation problem. Here we examine the case where the model parameters before and after the changepoint are independent and we derive an online algorithm for exact inference of the most recent changepoint. We compute the probability distribution of the length of the current ``run,'' or time since the last changepoint, using a simple message-passing algorithm. Our implementation is highly modular so that the algorithm may be applied to a variety of types of data. We illustrate this modularity by demonstrating the algorithm on three different real-world data sets.",high,A2,1,A2=high,"A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2007,arxiv:0710.3742,arxiv:0710.3742,2563971108403761333,,Bayesian nonparametric change point trajectory segmentation robot manipulation | change point detection Bayesian online segmentation time series,search-papers,true,A2,false,false,false,false,A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q09-bayesian.json | A2/raw/q35-bocpd.json,A2/expansion-triage.jsonl
1,arxiv:0811.4413,2,MEDIUM,A2,A Spectral Algorithm for Learning Hidden Markov Models,arxiv:0811.4413,"Hidden Markov Models (HMMs) are one of the most fundamental and widely used statistical tools for modeling discrete time series. In general, learning HMMs from data is computationally hard (under cryptographic assumptions), and practitioners typically resort to search heuristics which suffer from the usual local optima issues. We prove that under a natural separation condition (bounds on the smallest singular value of the HMM parameters), there is an efficient and provably correct algorithm for learning HMMs. The sample complexity of the algorithm does not explicitly depend on the number of distinct (discrete) observations---it implicitly depends on this quantity through spectral properties of the underlying HMM. This makes the algorithm particularly applicable to settings with a large number of observations, such as those in natural language processing where the space of observation is sometimes the words in a language. The algorithm is also simple, employing only a singular value decomposition and matrix multiplications.",medium,A2,1,A2=medium,A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.,A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.,A2=true,expansion_round_1,,2008,arxiv:0811.4413,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
2,arxiv:0905.2592,3,HIGH,A2,A sticky HDP-HMM with application to speaker diarization,arxiv:0905.2592,"We consider the problem of speaker diarization, the problem of segmenting an audio recording of a meeting into temporal segments corresponding to individual speakers. The problem is rendered particularly difficult by the fact that we are not allowed to assume knowledge of the number of people participating in the meeting. To address this problem, we take a Bayesian nonparametric approach to speaker diarization that builds on the hierarchical Dirichlet process hidden Markov model (HDP-HMM) of Teh et al. [J. Amer. Statist. Assoc. 101 (2006) 1566--1581]. Although the basic HDP-HMM tends to over-segment the audio data---creating redundant states and rapidly switching among them---we describe an augmented HDP-HMM that provides effective control over the switching rate. We also show that this augmentation makes it possible to treat emission distributions nonparametrically. To scale the resulting architecture to realistic diarization problems, we develop a sampling algorithm that employs a truncated approximation of the Dirichlet process to jointly resample the full state sequence, greatly improving mixing rates. Working with a benchmark NIST data set, we show that our Bayesian nonparametric architecture yields state-of-the-art speaker diarization results.",high,A2,1,A2=high,"A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.",A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.,A2=true,expansion_round_1,,2009,arxiv:0905.2592,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
3,arxiv:1003.0146,4,MEDIUM,A5,A Contextual-Bandit Approach to Personalized News Article Recommendation,arxiv:1003.0146,"Personalized web services strive to adapt their services (advertisements, news articles, etc) to individual users by making use of both content and user information. Despite a few recent advances, this problem remains challenging for at least two reasons. First, web service is featured with dynamically changing pools of content, rendering traditional collaborative filtering methods inapplicable. Second, the scale of most web services of practical interest calls for solutions that are both fast in learning and computation. In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneously adapting its article-selection strategy based on user-click feedback to maximize total user clicks. The contributions of this work are three-fold. First, we propose a new, general contextual bandit algorithm that is computationally efficient and well motivated from learning theory. Second, we argue that any bandit algorithm can be reliably evaluated offline using previously recorded random traffic. Finally, using this offline evaluation method, we successfully applied our new algorithm to a Yahoo! Front Page Today Module dataset containing over 33 million events. Results showed a 12.5% click lift compared to a standard context-free bandit algorithm, and the advantage becomes even greater when data gets more scarce.",medium,A5,1,A5=medium,"A5=In this work, we model personalized recommendation of news articles as a contextual bandit problem, a principled approach in which a learning algorithm sequentially selects articles to serve users based on contextual information about the users and articles, while simultaneous.",A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.,A5=true,expansion_round_3,,,arxiv:1003.0146,arxiv:1003.0146,4549646087447591988,,,,,A5,false,false,false,false,A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json,A5/expansion/round3-triage.jsonl
4,arxiv:1011.0686,5,HIGH,A1 | A2 | A3 | A4 | A5 | A6 | A8,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,arxiv:1011.0686,"Sequential prediction problems such as imitation learning, where future observations depend on previous predictions (actions), violate the common i.i.d. assumptions made in statistical learning. This leads to poor performance in theory and often in practice. Some recent approaches provide stronger guarantees in this setting, but remain somewhat unsatisfactory as they train either non-stationary or stochastic policies and require a large number of iterations. In this paper, we propose a new iterative algorithm, which trains a stationary deterministic policy, that can be seen as a no regret algorithm in an online learning setting. We show that any such no regret algorithm, combined with additional reduction assumptions, must find a policy with good performance under the distribution of observations it induces in such sequential settings. We demonstrate that this new approach outperforms previous approaches on two challenging imitation learning problems and a benchmark sequence labeling problem.",high,A1 | A2 | A3 | A4 | A5 | A6 | A8,7,A1=low | A2=medium | A3=high | A4=high | A5=medium | A6=medium | A8=high,"A1=The abstract does not expose a clear temporal mechanism connected to the lane. | A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning. | A3=The paper develops or evaluates A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning, offering a mechanism related to robot data quality, correction, attribution, or policy improvement. | A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=Sequential prediction problems such as imitation learning, where future observations depend on previous predictions (actions), violate the common i.i.d. | A6=Studies how non-ideal sequential experience or feedback can improve decision-making beyond success-only imitation. | A8=DAgger-style online aggregation queries expert labels on states visited by the learner and uses no-regret guarantees to control distribution shift.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training. | A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets. | A3=The mechanism is plausibly transferable to the Program A experience-to-policy loop and warrants follow-up. | A4=It directly informs curation of robot experience or a transferable policy-data loop. | A5=The expansion tests whether this curriculum mechanism adds a reusable way to control which robot experience influences policy training. | A6=Offers an adjacent conceptual transfer for representing and using imperfect robot experience. | A8=It is a foundational active data-collection baseline for deciding when fleet rollouts need corrective labels.",A1=false | A2=true | A3=true | A4=true | A5=true | A6=true | A8=true,expansion_round_1 | expansion_round_2 | primary_assignment,"Stephane Ross, Geoffrey J. Gordon, J. Andrew Bagnell",2010,arxiv:1011.0686 | paper:3771774981108717184 | paperid:3771774981108717184,arxiv:1011.0686,3771774981108717184,cs.AI | cs.LG | stat.ML,q34-found-original-dagger,firecrawl research related-papers | related-paper-expansion | related-papers | related-references,,A1 | A3 | A6,true,true,false,true,A1/expansion-registry.json | A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json | A2/expansion-pool.json | A2/expansion-pool.jsonl | A3/paper-registry.json | A3/round2-registry.json | A4/expansion/expansion-registry.jsonl | A4/expansion/round2/registry.jsonl | A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A4/expansion/round5/registry.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round1-similar.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round2-similar.json | A5/expansion/raw/round3-references.json | A5/expansion/raw/round3-similar.json | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q34-found-original-dagger.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A8/work/expansion-round2-novel.jsonl,A1/expansion-triage.jsonl | A2/expansion-triage.jsonl | A3/round2-triage.jsonl | A4/expansion/expansion-triage.jsonl | A5/expansion/round1-triage.jsonl | A6/triage.jsonl | A8/work/expansion-round2-triage.jsonl
5,arxiv:1103.5708,6,HIGH,A8,Planning to Be Surprised: Optimal Bayesian Exploration in Dynamic Environments,arxiv:1103.5708,"To maximize its success, an AGI typically needs to explore its initially unknown world. Is there an optimal way of doing so? Here we derive an affirmative answer for a broad class of environments.",high,A8,1,A8=high,A8=Bayesian planning selects actions that trade off immediate reward with expected information gain about unknown dynamics.,A8=It provides a formal decision rule for choosing fleet interactions whose observations reduce uncertainty about the environment.,A8=true,expansion_round_2,,,arxiv:1103.5708 | paperid:5758982126810484016,,,,,,,A8,false,false,false,false,A8/work/expansion-round2-novel.jsonl,A8/work/expansion-round2-triage.jsonl
6,arxiv:1106.0681,7,MEDIUM,A8,Accelerating Reinforcement Learning through Implicit Imitation,arxiv:1106.0681,"Imitation can be viewed as a means of enhancing learning in multiagent environments. It augments an agent's ability to learn useful behaviors by making intelligent use of the knowledge implicit in behaviors demonstrated by cooperative teachers or other more experienced agents. We propose and study a formal model of implicit imitation that can accelerate reinforcement learning dramatically in certain cases. Roughly, by observing a mentor, a reinforcement-learning agent can extract information about its own capabilities in, and the relative value of, unvisited parts of the state space. We study two specific instantiations of this model, one in which the learning agent and the mentor have identical abilities, and one designed to deal with agents and mentors with different action sets. We illustrate the benefits of implicit imitation by integrating it with prioritized sweeping, and demonstrating improved performance and convergence through observation of single and multiple mentors. Though we make some stringent assumptions regarding observability and possible interactions, we briefly comment on extensions of the model that relax these restricitions.",medium,A8,1,A8=medium,A8=Demonstrations initialize or guide reinforcement learning so exploration starts near useful behavior and then improves by trial outcomes.,A8=It frames demonstrations as an information-efficient prior for deciding where subsequent exploration should occur.,A8=true,expansion_round_1,,,arxiv:1106.0681 | paperid:3022603854347046548,,,,,related-papers,,A8,false,false,false,false,A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl,A8/work/expansion-triage.jsonl
7,arxiv:1106.1822,8,HIGH,A2,Efficient Solution Algorithms for Factored MDPs,arxiv:1106.1822,"This paper addresses the problem of planning under uncertainty in large Markov Decision Processes (MDPs). Factored MDPs represent a complex state space using state variables and the transition model using a dynamic Bayesian network. This representation often allows an exponential reduction in the representation size of structured MDPs, but the complexity of exact solution algorithms for such MDPs can grow exponentially in the representation size. In this paper, we present two approximate solution algorithms that exploit structure in factored MDPs. Both use an approximate value function represented as a linear combination of basis functions, where each basis function involves only a small subset of the domain variables. A key contribution of this paper is that it shows how the basic operations of both algorithms can be performed efficiently in closed form, by exploiting both additive and context-specific structure in a factored MDP. A central element of our algorithms is a novel linear program decomposition technique, analogous to variable elimination in Bayesian networks, which reduces an exponentially large LP to a provably equivalent, polynomial-sized one. One algorithm uses approximate linear programming, and the second approximate dynamic programming. Our dynamic programming algorithm is novel in that it uses an approximation based on max-norm, a technique that more directly minimizes the terms that appear in error bounds for approximate MDP algorithms. We provide experimental results on problems with over 10⁴0 states, demonstrating a promising indication of the scalability of our approach, and compare our algorithm to an existing state-of-the-art approach, showing, in some problems, exponential gains in computation time.",high,A2,1,A2=high,"A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.",A2=true,expansion_round_1,,2011,arxiv:1106.1822,,,,,,,A2,false,false,false,false,A2/expansion-pool.json | A2/expansion-pool.jsonl,A2/expansion-triage.jsonl
8,arxiv:1106.4573,9,MEDIUM,A3,Towards Adjustable Autonomy for the Real World,arxiv:1106.4573,"Adjustable autonomy refers to entities dynamically varying their own autonomy, transferring decision-making control to other entities (typically agents transferring control to human users) in key situations. Determining whether and when such transfers-of-control should occur is arguably the fundamental research problem in adjustable autonomy. Previous work has investigated various approaches to addressing this problem but has often focused on individual agent-human interactions. Unfortunately, domains requiring collaboration between teams of agents and humans reveal two key shortcomings of the",medium,A3,1,A3=medium,"A3=The paper develops or evaluates Towards Adjustable Autonomy for the Real World, offering an adjacent mechanism for robot learning or data collection.","A3=The result may transfer to A3 quality estimation or harmful-data handling, but direct relevance is uncertain.",A3=false,expansion_round_3,,2011,arxiv:1106.4573,,,,,firecrawl research related-papers,,A3,false,false,false,false,A3/paper-registry.json | A3/round3-registry.json,A3/round3-triage.jsonl
9,arxiv:1112.1217,10,HIGH,A8,Entropy Search for Information-Efficient Global Optimization,arxiv:1112.1217,"Contemporary global optimization algorithms are based on local measures of utility, rather than a probability measure over location and value of the optimum. They thus attempt to collect low function values, not to learn about the optimum. The reason for the absence of probabilistic global optimizers is that the corresponding inference problem is intractable in several ways. This paper develops desiderata for probabilistic optimization algorithms, then presents a concrete algorithm which addresses each of the computational intractabilities with a sequence of approximations and explicitly adresses the decision problem of maximizing information gain from each evaluation.",high,A8,1,A8=high,A8=Entropy search selects evaluations that maximally reduce posterior uncertainty about the optimizer’s location.,A8=It is a transferable Bayesian experiment-design rule for choosing the next informative fleet query.,A8=true,expansion_round_3,,,arxiv:1112.1217 | paperid:5495336183052117905,,,,,,,A8,false,false,false,false,A8/work/expansion-round3-novel.jsonl,A8/work/expansion-round3-triage.jsonl
