"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","classification","evidence_basis","verification"
"7","arxiv:1106.1822","Efficient Solution Algorithms for Factored MDPs","DROP","0","DROP","title_and_abstract","json_record_checked"
"20","arxiv:1301.4862","Active Learning of Inverse Models with Intrinsically Motivated Goal Exploration in Robots","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"33","arxiv:1406.4729","Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition","DROP","0","DROP","title_and_abstract","json_record_checked"
"46","arxiv:1503.03167","Deep Convolutional Inverse Graphics Network","DROP","0","DROP","title_and_abstract","json_record_checked"
"59","arxiv:1509.02971","Continuous control with deep reinforcement learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"72","arxiv:1601.00617","Coresets and Sketches","DROP","0","DROP","title_and_abstract","json_record_checked"
"85","arxiv:1603.02199","Learning Hand-Eye Coordination for Robotic Grasping with Deep Learning and Large-Scale Data Collection","DROP","0","DROP","title_and_abstract","json_record_checked"
"98","arxiv:1606.01540","OpenAI Gym","DROP","0","DROP","title_and_abstract","json_record_checked"
"111","arxiv:1610.00529","Path Integral Guided Policy Search","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"124","arxiv:1611.07507","Variational Intrinsic Control","DROP","0","DROP","title_and_abstract","json_record_checked"
"137","arxiv:1703.01030","Deeply AggreVaTeD: Differentiable Imitation Learning for Sequential Prediction","DROP","0","DROP","title_and_abstract","json_record_checked"
"150","arxiv:1703.08132","Weakly Supervised Action Learning with RNN based Fine-to-coarse Modeling","DROP","0","DROP","title_and_abstract","json_record_checked"
"163","arxiv:1705.05681","Optimal Warping Paths are unique for almost every Pair of Time Series","DROP","0","DROP","title_and_abstract","json_record_checked"
"176","arxiv:1707.02201","Learning human behaviors from motion capture by adversarial imitation","DROP","0","DROP","title_and_abstract","json_record_checked"
"189","arxiv:1709.06166","DropoutDAgger: A Bayesian Approach to Safe Imitation Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"202","arxiv:1711.01458","DDD17: End-To-End DAVIS Driving Dataset","DROP","0","DROP","title_and_abstract","json_record_checked"
"215","arxiv:1802.05313","Reinforcement Learning from Imperfect Demonstrations","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"228","arxiv:1805.04969","Learning Temporal Strategic Relationships using Generative Adversarial Imitation Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"241","arxiv:1807.04863","Avoiding Latent Variable Collapse With Generative Skip Models","DROP","0","DROP","title_and_abstract","json_record_checked"
"254","arxiv:1810.02890","HG-DAgger: Interactive Imitation Learning with Human Experts","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"267","arxiv:1811.05890","Data-Enabled Predictive Control: In the Shallows of the DeePC","DROP","0","DROP","title_and_abstract","json_record_checked"
"280","arxiv:1901.10995","Go-Explore: a New Approach for Hard-Exploration Problems","DROP","0","DROP","title_and_abstract","json_record_checked"
"293","arxiv:1904.01693","Multigrid Predictive Filter Flow for Unsupervised Learning on Videos","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"306","arxiv:1905.12888","Imitation Learning as f-Divergence Minimization","DROP","0","DROP","title_and_abstract","json_record_checked"
