"pass2_index","paper_id","status","mechanism_count","processed_at","error_or_review_reason"
"9","arxiv:1112.1217","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"22","arxiv:1306.0940","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"35","arxiv:1408.2156","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"48","arxiv:1503.05671","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"61","arxiv:1509.08731","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"74","arxiv:1601.05484","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"87","arxiv:1603.06348","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"100","arxiv:1606.03476","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"113","arxiv:1610.00696","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"126","arxiv:1612.01474","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"139","arxiv:1703.01260","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"152","arxiv:1703.09312","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"165","arxiv:1705.08848","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"178","arxiv:1707.02747","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"191","arxiv:1709.07857","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"204","arxiv:1711.08569","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"217","arxiv:1802.06070","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"230","arxiv:1805.08296","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"243","arxiv:1807.08364","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"256","arxiv:1810.05687","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"269","arxiv:1811.08086","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"282","arxiv:1902.01554","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"295","arxiv:1904.03597","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"308","arxiv:1906.00949","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"321","arxiv:1907.01657","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"334","arxiv:1909.02060","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"347","arxiv:1910.11956","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"360","arxiv:2002.03848","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
