"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"1","arxiv:0811.4413","2","MEDIUM","A2","A Spectral Algorithm for Learning Hidden Markov Models","arxiv:0811.4413","Hidden Markov Models (HMMs) are one of the most fundamental and widely used statistical tools for modeling discrete time series. In general, learning HMMs from data is computationally hard (under cryptographic assumptions), and practitioners typically resort to search heuristics which suffer from the usual local optima issues. We prove that under a natural separation condition (bounds on the smallest singular value of the HMM parameters), there is an efficient and provably correct algorithm for learning HMMs. The sample complexity of the algorithm does not explicitly depend on the number of distinct (discrete) observations---it implicitly depends on this quantity through spectral properties of the underlying HMM. This makes the algorithm particularly applicable to settings with a large number of observations, such as those in natural language processing where the space of observation is sometimes the words in a language. The algorithm is also simple, employing only a singular value decomposition and matrix multiplications.","medium","A2","1","A2=medium","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.","A2=true","expansion_round_1","","2008","arxiv:0811.4413","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"14","arxiv:1206.6389","2","MEDIUM","A4","Poisoning Attacks against Support Vector Machines","arxiv:1206.6389","We investigate a family of poisoning attacks against Support Vector Machines (SVM). Such attacks inject specially crafted training data that increases the SVM's test error. Central to the motivation for these attacks is the fact that most learning algorithms assume that their training data comes from a natural or well-behaved distribution. However, this assumption does not generally hold in security-sensitive settings. As we demonstrate, an intelligent adversary can, to some extent, predict the change of the SVM's decision function due to malicious input and use this ability to construct malicious data. The proposed attack uses a gradient ascent strategy in which the gradient is computed based on properties of the SVM's optimal solution. This method can be kernelized and enables the attack to be constructed in the input space even for non-linear kernels. We experimentally demonstrate that our gradient ascent procedure reliably identifies good local maxima of the non-convex validation error surface, which significantly increases the classifier's test error.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1206.6389 | paper:5414774337912723230","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"27","arxiv:1312.6034","2","MEDIUM","A4","Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps","arxiv:1312.6034","This paper addresses the visualisation of image classification models, learnt using deep Convolutional Networks (ConvNets). We consider two visualisation techniques, based on computing the gradient of the class score with respect to the input image. The first one generates an image, which maximises the class score [Erhan et al., 2009], thus visualising the notion of the class, captured by a ConvNet. The second technique computes a class saliency map, specific to a given image and class. We show that such maps can be employed for weakly supervised object segmentation using classification ConvNets. Finally, we establish the connection between the gradient-based ConvNet visualisation methods and deconvolutional networks [Zeiler et al., 2013].","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1312.6034 | paper:3228956477387842737","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"40","arxiv:1411.7766","2","MEDIUM","A4","Deep Learning Face Attributes in the Wild","arxiv:1411.7766","Predicting face attributes in the wild is challenging due to complex face variations. We propose a novel deep learning framework for attribute prediction in the wild. It cascades two CNNs, LNet and ANet, which are fine-tuned jointly with attribute tags, but pre-trained differently. LNet is pre-trained by massive general object categories for face localization, while ANet is pre-trained by massive face identities for attribute prediction. This framework not only outperforms the state-of-the-art with a large margin, but also reveals valuable facts on learning face representation. (1) It shows how the performances of face localization (LNet) and attribute prediction (ANet) can be improved by different pre-training strategies. (2) It reveals that although the filters of LNet are fine-tuned only with image-level attribute tags, their response maps over entire images have strong indication of face locations. This fact enables training LNet for face localization with only image-level annotations, but without face bounding boxes or landmarks, which are required by all attribute recognition works. (3) It also demonstrates that the high-level hidden neurons of ANet automatically discover semantic concepts after pre-training with massive face identities, and such concepts are significantly enriched after fine-tuning with attribute tags. Each attribute can be well explained with a sparse linear combination of these concepts.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1411.7766 | paper:7594314799103397190","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"53","arxiv:1506.04714","2","HIGH","A1","Slow and steady feature analysis: higher order temporal coherence in video","arxiv:1506.04714","How can unlabeled video augment visual learning? Existing methods perform ""slow"" feature analysis, encouraging the representations of temporally close frames to exhibit only small differences. While this standard approach captures the fact that high-level visual signals change slowly over time, it fails to capture *how* the visual content changes. We propose to generalize slow feature analysis to ""steady"" feature analysis. The key idea is to impose a prior that higher order derivatives in the learned feature space must be small. To this end, we train a convolutional neural network with a regularizer on tuples of sequential frames from unlabeled video. It encourages feature changes over time to be smooth, i.e., similar to the most recent changes. Using five diverse datasets, including unlabeled YouTube and KITTI videos, we demonstrate our method's impact on object, scene, and action recognition tasks. We further show that our features learned from unlabeled video can even surpass a standard heavily supervised pretraining approach.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Slow and steady feature analysis: higher order temporal coherence in video.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_1","","","arxiv:1506.04714","arxiv:1506.04714","5007072032381628751","","","related-references","","A1","false","false","false","false","A1/expansion-inspection-manifest.json | A1/expansion-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"66","arxiv:1511.06362","2","HIGH","A2","Efficient inference in occlusion-aware generative models of images","arxiv:1511.06362","We present a generative model of images based on layering, in which image layers are individually generated, then composited from front to back. We are thus able to factor the appearance of an image into the appearance of individual objects within the image --- and additionally for each individual object, we can factor content from pose. Unlike prior work on layered models, we learn a shape prior for each object/layer, allowing the model to tease out which object is in front by looking for a consistent shape, without needing access to motion cues or any labeled data. We show that ordinary stochastic gradient variational bayes (SGVB), which optimizes our fully differentiable lower-bound on the log-likelihood, is sufficient to learn an interpretable representation of images. Finally we present experiments demonstrating the effectiveness of the model for inferring foreground and background objects in images.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2015","arxiv:1511.06362","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"79","arxiv:1602.04938","2","MEDIUM","A4","""Why Should I Trust You?"": Explaining the Predictions of Any Classifier","arxiv:1602.04938","Despite widespread adoption, machine learning models remain mostly black boxes. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model. Such understanding also provides insights into the model, which can be used to transform an untrustworthy model or prediction into a trustworthy one. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction. We also propose a method to explain models by presenting representative individual predictions and their explanations in a non-redundant way, framing the task as a submodular optimization problem. We demonstrate the flexibility of these methods by explaining different models for text (e.g. random forests) and image classification (e.g. neural networks). We show the utility of explanations via novel experiments, both simulated and with human subjects, on various scenarios that require trust: deciding if one should trust a prediction, choosing between models, improving an untrustworthy classifier, and identifying why a classifier should not be trusted.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:1602.04938 | paper:2482899453520618090","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"92","arxiv:1604.07255","2","HIGH","A2","A Deep Hierarchical Approach to Lifelong Learning in Minecraft","arxiv:1604.07255","We propose a lifelong learning system that has the ability to reuse and transfer knowledge from one task to another while efficiently retaining the previously learned knowledge-base. Knowledge is transferred by learning reusable skills to solve tasks in Minecraft, a popular video game which is an unsolved and high-dimensional lifelong learning problem. These reusable skills, which we refer to as Deep Skill Networks, are then incorporated into our novel Hierarchical Deep Reinforcement Learning Network (H-DRLN) architecture using two techniques: (1) a deep skill array and (2) skill distillation, our novel variation of policy distillation (Rusu et. al. 2015) for learning skills. Skill distillation enables the HDRLN to efficiently retain knowledge and therefore scale in lifelong learning, by accumulating knowledge and encapsulating multiple reusable skills into a single distilled network. The H-DRLN exhibits superior performance and lower learning sample complexity compared to the regular Deep Q Network (Mnih et. al. 2015) in sub-domains of Minecraft.","high","A2","1","A2=high","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2016","arxiv:1604.07255","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"105","arxiv:1607.07939","2","HIGH","A6","A Sensorimotor Reinforcement Learning Framework for Physical Human-Robot Interaction","arxiv:1607.07939","Modeling of physical human-robot collaborations is generally a challenging problem due to the unpredictive nature of human behavior. To address this issue, we present a data-efficient reinforcement learning framework which enables a robot to learn how to collaborate with a human partner. The robot learns the task from its own sensorimotor experiences in an unsupervised manner. The uncertainty of the human actions is modeled using Gaussian processes (GP) to implement action-value functions. Optimal action selection given the uncertain GP model is ensured by Bayesian optimization. We apply the framework to a scenario in which a human and a PR2 robot jointly control the ball position on a plank based on vision and force/torque data. Our experimental results show the suitability of the proposed method in terms of fast and data-efficient model learning, optimal action selection under uncertainties and equal role sharing between the partners.","high","A6","1","A6=high","A6=Uses value or reward inference, offline reinforcement learning, or advantage signals to extract task-relevant behavior from heterogeneous trajectories.","A6=Connects trajectory outcomes to policy improvement rather than copying actions independently of consequences.","A6=true","expansion_round_1","","","arxiv:1607.07939","arxiv:1607.07939","9117946252006062649","","","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"118","arxiv:1611.00712","2","HIGH","A2","The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables","arxiv:1611.00712","The reparameterization trick enables optimizing large scale stochastic computation graphs via gradient descent. The essence of the trick is to refactor each stochastic node into a differentiable function of its parameters and a random variable with fixed distribution. After refactoring, the gradients of the loss propagated by the chain rule through the graph are low variance unbiased estimators of the gradients of the expected loss. While many continuous random variables have such reparameterizations, discrete random variables lack useful reparameterizations due to the discontinuous nature of discrete states. In this work we introduce Concrete random variables---continuous relaxations of discrete random variables. The Concrete distribution is a new family of distributions with closed form densities and a simple reparameterization. Whenever a discrete stochastic node of a computation graph can be refactored into a one-hot bit representation that is treated continuously, Concrete stochastic nodes can be used with automatic differentiation to produce low-variance biased gradients of objectives (including objectives that depend on the log-probability of latent stochastic nodes) on the corresponding discrete graph. We demonstrate the effectiveness of Concrete relaxations on density estimation and structured prediction tasks using neural networks.","high","A2","1","A2=high","A2=Encodes or selects compact trajectory segments or latent plans so sequential experience can be retrieved, recombined, or reused.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2016","arxiv:1611.00712","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"131","arxiv:1702.01182","2","MEDIUM","A6","Uncertainty-Aware Reinforcement Learning for Collision Avoidance","arxiv:1702.01182","Reinforcement learning can enable complex, adaptive behavior to be learned automatically for autonomous robotic platforms. However, practical deployment of reinforcement learning methods must contend with the fact that the training process itself can be unsafe for the robot. In this paper, we consider the specific case of a mobile robot learning to navigate an a priori unknown environment while avoiding collisions. In order to learn collision avoidance, the robot must experience collisions at training time. However, high-speed collisions, even at training time, could damage the robot. A successful learning method must therefore proceed cautiously, experiencing only low-speed collisions until it gains confidence. To this end, we present an uncertainty-aware model-based learning algorithm that estimates the probability of collision together with a statistical estimate of uncertainty. By formulating an uncertainty-dependent cost function, we show that the algorithm naturally chooses to proceed cautiously in unfamiliar environments, and increases the velocity of the robot in settings where it has high confidence. Our predictive model is based on bootstrapped neural networks using dropout, allowing it to process raw sensory inputs from high-bandwidth sensors such as cameras. Our experimental evaluation demonstrates that our method effectively minimizes dangerous collisions at training time in an obstacle avoidance task for a simulated and real-world quadrotor, and a real-world RC car. Videos of the experiments can be found at https://sites.google.com/site/probcoll.","medium","A6","1","A6=medium","A6=Estimates demonstration quality or latent expertise to filter, weight, or optimize learning from mixed-quality experience.","A6=Shows how heterogeneous demonstrations can contribute without treating every transition as equally trustworthy.","A6=false","expansion_round_1","","","arxiv:1702.01182","arxiv:1702.01182","2103737674980424681","","","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"144","arxiv:1703.03078","2","HIGH","A1","Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning","arxiv:1703.03078","Reinforcement learning (RL) algorithms for real-world robotic applications need a data-efficient learning process and the ability to handle complex, unknown dynamical systems. These requirements are handled well by model-based and model-free RL approaches, respectively. In this work, we aim to combine the advantages of these two types of methods in a principled manner. By focusing on time-varying linear-Gaussian policies, we enable a model-based algorithm based on the linear quadratic regulator (LQR) that can be integrated into the model-free framework of path integral policy improvement (PI2). We can further combine our method with guided policy search (GPS) to train arbitrary parameterized policies such as deep neural networks. Our simulation and real-world experiments demonstrate that this method can solve challenging manipulation tasks with comparable or better performance than model-free methods while maintaining the sample efficiency of model-based methods. A video presenting our results is available at https://sites.google.com/site/icml17pilqr","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Combining Model-Based and Model-Free Updates for Trajectory-Centric Reinforcement Learning.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_3","","","arxiv:1703.03078","arxiv:1703.03078","5861435920342944382","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"157","arxiv:1704.03012","2","HIGH","A2","Stochastic Neural Networks for Hierarchical Reinforcement Learning","arxiv:1704.03012","Deep reinforcement learning has achieved many impressive results in recent years. However, tasks with sparse rewards or long horizons continue to pose significant challenges. To tackle these important problems, we propose a general framework that first learns useful skills in a pre-training environment, and then leverages the acquired skills for learning faster in downstream tasks. Our approach brings together some of the strengths of intrinsic motivation and hierarchical methods: the learning of useful skill is guided by a single proxy reward, the design of which requires very minimal domain knowledge about the downstream tasks. Then a high-level policy is trained on top of these skills, providing a significant improvement of the exploration and allowing to tackle sparse rewards in the downstream tasks. To efficiently pre-train a large span of skills, we use Stochastic Neural Networks combined with an information-theoretic regularizer. Our experiments show that this combination is effective in learning a wide span of interpretable skills in a sample-efficient way, and can significantly boost the learning performance uniformly across a wide range of downstream tasks.","high","A2","1","A2=high","A2=Discovers reusable temporal structure in sequential experience for downstream decision making or policy learning.","A2=The mechanism connects temporal structure to data selection or learning efficiency in the Program A loop.","A2=true","expansion_round_1","","2017","arxiv:1704.03012","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"170","arxiv:1706.04317","2","MEDIUM","A1","Schema Networks: Zero-shot Transfer with a Generative Causal Model of Intuitive Physics","arxiv:1706.04317","The recent adaptation of deep neural network-based methods to reinforcement learning and planning domains has yielded remarkable progress on individual tasks. Nonetheless, progress on task-to-task transfer remains limited. In pursuit of efficient and robust generalization, we introduce the Schema Network, an object-oriented generative physics simulator capable of disentangling multiple causes of events and reasoning backward through causes to achieve goals. The richly structured architecture of the Schema Network can learn the dynamics of an environment directly from data. We compare Schema Networks with Asynchronous Advantage Actor-Critic and Progressive Networks on a suite of Breakout variations, reporting results on training efficiency and zero-shot generalization, consistently demonstrating faster, more robust learning and better transfer. We argue that generalizing from limited data and learning causal relationships are essential abilities on the path toward generally intelligent systems.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Schema Networks: Zero-shot Transfer with a Generative Causal Model of Intuitive Physics.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_3","","","arxiv:1706.04317","arxiv:1706.04317","2282567907728959780","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"183","arxiv:1707.08110","2","MEDIUM","A1","Deep Forecast: Deep Learning-based Spatio-Temporal Forecasting","arxiv:1707.08110","The paper presents a spatio-temporal wind speed forecasting algorithm using Deep Learning (DL)and in particular, Recurrent Neural Networks(RNNs). Motivated by recent advances in renewable energy integration and smart grids, we apply our proposed algorithm for wind speed forecasting. Renewable energy resources (wind and solar)are random in nature and, thus, their integration is facilitated with accurate short-term forecasts. In our proposed framework, we model the spatiotemporal information by a graph whose nodes are data generating entities and its edges basically model how these nodes are interacting with each other. One of the main contributions of our work is the fact that we obtain forecasts of all nodes of the graph at the same time based on one framework. Results of a case study on recorded time series data from a collection of wind mills in the north-east of the U.S. show that the proposed DL-based forecasting algorithm significantly improves the short-term forecasts compared to a set of widely-used benchmarks models.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Deep Forecast: Deep Learning-based Spatio-Temporal Forecasting.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_3","","","arxiv:1707.08110","arxiv:1707.08110","6430079740154166912","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"196","arxiv:1710.04615","2","HIGH","A4 | A5 | A7","Deep Imitation Learning for Complex Manipulation Tasks from Virtual Reality Teleoperation","arxiv:1710.04615","Imitation learning is a powerful paradigm for robot skill acquisition. However, obtaining demonstrations suitable for learning a policy that maps from raw pixels to actions can be challenging. In this paper we describe how consumer-grade Virtual Reality headsets and hand tracking hardware can be used to naturally teleoperate robots to perform complex tasks. We also describe how imitation learning can learn deep neural network policies (mapping from pixels to actions) that can acquire the demonstrated skills. Our experiments showcase the effectiveness of our approach for learning visuomotor skills.","high","A4 | A5 | A7","3","A4=high | A5=high | A7=high","A4=Connects trajectory or dataset composition to downstream policy or model behavior. | A5=In this paper we describe how consumer-grade Virtual Reality headsets and hand tracking hardware can be used to naturally teleoperate robots to perform complex tasks. | A7=Imitation learning is a powerful paradigm for robot skill acquisition.","A4=It directly informs curation of robot experience or a transferable policy-data loop. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A7=It expands or measures task, environment, object, or observation coverage for more robust behavior.","A4=true | A5=true | A7=true","expansion_round_1 | expansion_round_3","","","arxiv:1710.04615 | paper:3777093722433540574","arxiv:1710.04615","3777093722433540574","","","references | related-paper-expansion","","A4 | A5 | A7","false","false","false","false","A4/expansion/expansion-registry.jsonl | A4/expansion/round3/registry.jsonl | A5/expansion/raw/round3-references.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl","A4/expansion/expansion-triage.jsonl | A5/expansion/round3-triage.jsonl | A7/work/expansion-triage.jsonl"
"209","arxiv:1712.05080","2","HIGH","A1","Weakly Supervised Action Localization by Sparse Temporal Pooling Network","arxiv:1712.05080","We propose a weakly supervised temporal action localization algorithm on untrimmed videos using convolutional neural networks. Our algorithm learns from video-level class labels and predicts temporal intervals of human actions with no requirement of temporal localization annotations. We design our network to identify a sparse subset of key segments associated with target actions in a video using an attention module and fuse the key segments through adaptive temporal pooling. Our loss function is comprised of two terms that minimize the video-level action classification error and enforce the sparsity of the segment selection. At inference time, we extract and score temporal proposals using temporal class activations and class-agnostic attentions to estimate the time intervals that correspond to target actions. The proposed algorithm attains state-of-the-art results on the THUMOS14 dataset and outstanding performance on ActivityNet1.3 even with its weak supervision.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Weakly Supervised Action Localization by Sparse Temporal Pooling Network.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_1","","2017","arxiv:1712.05080","arxiv:1712.05080","1197986622358825385","","human activity recognition temporal action segmentation weak supervision","related-references","true","A1","false","false","false","false","A1/expansion-registry.json | A1/paper-registry-complete.json | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q23-human-activity.json","A1/expansion-triage.jsonl"
"222","arxiv:1803.01840","2","HIGH","A2","TACO: Learning Task Decomposition via Temporal Alignment for Control","arxiv:1803.01840","Many advanced Learning from Demonstration (LfD) methods consider the decomposition of complex, real-world tasks into simpler sub-tasks. By reusing the corresponding sub-policies within and between tasks, they provide training data for each policy from different high-level tasks and compose them to perform novel ones. Existing approaches to modular LfD focus either on learning a single high-level task or depend on domain knowledge and temporal segmentation. In contrast, we propose a weakly supervised, domain-agnostic approach based on task sketches, which include only the sequence of sub-tasks performed in each demonstration. Our approach simultaneously aligns the sketches with the observed demonstrations and learns the required sub-policies. This improves generalisation in comparison to separate optimisation procedures. We evaluate the approach on multiple domains, including a simulated 3D robot arm control task using purely image-based observations. The results show that our approach performs commensurately with fully supervised approaches, while requiring significantly less annotation effort.","high","A2","1","A2=high","A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2018","arxiv:1803.01840","arxiv:1803.01840","4384026249586721898","","learning to segment demonstrations programming by demonstration","search-papers","true","A1","false","false","false","false","A1/paper-registry-complete.json | A1/paper-registry.json | A1/raw/q09-foundational-robot.json | A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q29-programming-by-demo.json","A2/expansion-triage.jsonl"
"235","arxiv:1806.01794","2","HIGH","A1","Sequential Attend, Infer, Repeat: Generative Modelling of Moving Objects","arxiv:1806.01794","We present Sequential Attend, Infer, Repeat (SQAIR), an interpretable deep generative model for videos of moving objects. It can reliably discover and track objects throughout the sequence of frames, and can also generate future frames conditioning on the current frame, thereby simulating expected motion of objects. This is achieved by explicitly encoding object presence, locations and appearances in the latent variables of the model. SQAIR retains all strengths of its predecessor, Attend, Infer, Repeat (AIR, Eslami et. al., 2016), including learning in an unsupervised manner, and addresses its shortcomings. We use a moving multi-MNIST dataset to show limitations of AIR in detecting overlapping or partially occluded objects, and show how SQAIR overcomes them by leveraging temporal consistency of objects. Finally, we also apply SQAIR to real-world pedestrian CCTV data, where it learns to reliably detect, track and generate walking pedestrians with no supervision.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Sequential Attend, Infer, Repeat: Generative Modelling of Moving Objects.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:1806.01794","arxiv:1806.01794","8859639635410870005","","","related-papers-round2 | related-papers-round3","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"248","arxiv:1809.03979","2","HIGH","A6","Endowing Robots with Longer-term Autonomy by Recovering from External Disturbances in Manipulation through Grounded Anomaly Classification and Recovery Policies","arxiv:1809.03979","Robot manipulation is increasingly poised to interact with humans in co-shared workspaces. Despite increasingly robust manipulation and control algorithms, failure modes continue to exist whenever models do not capture the dynamics of the unstructured environment. To obtain longer-term horizons in robot automation, robots must develop introspection and recovery abilities. We contribute a set of recovery policies to deal with anomalies produced by external disturbances as well as anomaly classification through the use of non-parametric statistics with memoized variational inference with scalable adaptation. A recovery critic stands atop of a tightly-integrated, graph-based online motion-generation and introspection system that resolves a wide range of anomalous situations. Policies, skills, and introspection models are learned incrementally and contextually in a task. Two task-level recovery policies: re-enactment and adaptation resolve accidental and persistent anomalies respectively. The introspection system uses non-parametric priors along with Markov jump linear systems and memoized variational inference with scalable adaptation to learn a model from the data. Extensive real-robot experimentation with various strenuous anomalous conditions is induced and resolved at different phases of a task and in different combinations. The system executes around-the-clock introspection and recovery and even elicited self-recovery when misclassifications occurred.","high","A6","1","A6=high","A6=Learns or supplies recovery, correction, retry, repair, or replanning behavior from failed or perturbed executions.","A6=Makes failure states informative for robust execution and for deciding what corrective data to collect next.","A6=true","expansion_round_1","","","arxiv:1809.03979","arxiv:1809.03979","2210363815980797505","","q14-mech-recovery-intervention | q15-failure-detection-recovery","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q14-mech-recovery-intervention.json | A6/raw-retrieval/q15-failure-detection-recovery.json | A6/work/canonical-pool.jsonl","A6/expansion/triage.jsonl"
