paper_name,id,abstract,triage_label,lane,corpus_stage,mechanism,why_it_matters,follow_up,authors,year,source_ids,primary_id,paper_id,categories,queries,discovery_methods,designations,assignment_rank,assignment_score,search_score,primary_reader,metadata_verified,body_inspected,evidence_read,abstract_reviewed,inspection_status,triage_status,stages_seen,source_registry_paths,source_triage_paths,metadata_status,triage_count
An algorithm for clock synchronization with the gradient property in sensor networks,arxiv:0704.3890,"We introduce a distributed algorithm for clock synchronization in sensor networks. Our algorithm assumes that nodes in the network only know their immediate neighborhoods and an upper bound on the network's diameter. Clock-synchronization messages are only sent as part of the communication, assumed reasonably frequent, that already takes place among nodes. The algorithm has the gradient property of [2], achieving an O(1) worst-case skew between the logical clocks of neighbors. As in the case of [3,8], the algorithm's actions are such that no constant lower bound exists on the rate at which logical clocks progress in time, and for this reason the lower bound of [2,5] that forbids constant skew between neighbors does not apply.",medium,B1,primary_assignment,A neighborhood-only algorithm achieves bounded local logical-clock skew using communication already present in a sensor network.,,true,"Rodolfo M. Pussente, Valmir C. Barbosa",2007,arxiv:0704.3890,arxiv:0704.3890,7081661685753858384,,,,,76,,0.8337581892923576,B1,true,inspect-arxiv_0704.3890.json,,,inspect-arxiv_0704.3890.json,triaged,primary_assignment,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl,complete,2
Random Linear Network Coding For Time Division Duplexing: When To Stop Talking And Start Listening,arxiv:0809.2350,,medium,B5,expansion_round_1,"The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,true,"Daniel E. Lucani, Milica Stojanovic, Muriel Médard",,,arxiv:0809.2350,,,,,,,,0.03125763125763126,B5,,,C:\Users\moham\Documents\Codex\2026-08-29\organize-x20\work\reflex-research\program-b\b5\expansion\evidence\read\028-arxiv_0809.2350.json,,,triaged,expansion_round_1,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl,partial,1
A Statistical Approach to Performance Monitoring in Soft Real-Time Distributed Systems,arxiv:0901.2685,"Soft real-time applications require timely delivery of messages conforming to the soft real-time constraints. Satisfying such requirements is a complex task both due to the volatile nature of distributed environments, as well as due to numerous domain-specific factors that affect message latency. Prompt detection of the root-cause of excessive message delay allows a distributed system to react accordingly. This may significantly improve compliance with the required timeliness constraints. In this work, we present a novel approach for distributed performance monitoring of soft-real time distributed systems. We propose to employ recent distributed algorithms from the statistical signal processing and learning domains, and to utilize them in a different context of online performance monitoring and root-cause analysis, for pinpointing the reasons for violation of performance requirements. Our approach is general and can be used for monitoring of any distributed system, and is not limited to the soft real-time domain. We have implemented the proposed framework in TransFab, an IBM prototype of soft real-time messaging fabric. In addition to root-cause analysis, the framework includes facilities to resolve resource allocation problems, such as memory and bandwidth deficiency. The experiments demonstrate that the system can identify and resolve latency problems in a timely fashion.",high,B7,primary_assignment,Uses statistical signal-processing methods in TransFab to monitor latency violations and identify distributed resource causes online.,Root-cause localization of message delay and resource deficiency is directly transferable to middleware telemetry.,true,,,arxiv:0901.2685,arxiv:0901.2685,7952815850758365402,,13-causal-profiling,,,61,108.553,0.8455347349164652,B7,Firecrawl Research search-papers abstract; full text not assumed,,,,,triaged,primary_assignment,b3/raw-q13-causal-profiling.json | b3/registry.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q25-failure-localization.json | b7/raw-retrieval/q30-adjacent-distributed.json,b7/abstract-triage.jsonl,complete,1
Automatic Performance Debugging of SPMD Parallel Programs,arxiv:1002.4264,"Automatic performance debugging of parallel applications usually involves two steps: automatic detection of performance bottlenecks and uncovering their root causes for performance optimization. Previous work fails to resolve this challenging issue in several ways: first, several previous efforts automate analysis processes, but present the results in a confined way that only identifies performance problems with apriori knowledge; second, several tools take exploratory or confirmatory data analysis to automatically discover relevant performance data relationships. However, these efforts do not focus on locating performance bottlenecks or uncovering their root causes. In this paper, we design and implement an innovative system, AutoAnalyzer, to automatically debug the performance problems of single program multi-data (SPMD) parallel programs. Our system is unique in terms of two dimensions: first, without any apriori knowledge, we automatically locate bottlenecks and uncover their root causes for performance optimization; second, our method is lightweight in terms of size of collected and analyzed performance data. Our contribution is three-fold. First, we propose a set of simple performance metrics to represent behavior of different processes of parallel programs, and present two effective clustering and searching algorithms to locate bottlenecks. Second, we propose to use the rough set algorithm to automatically uncover the root causes of bottlenecks. Third, we design and implement the AutoAnalyzer system, and use two production applications to verify the effectiveness and correctness of our methods. According to the analysis results of AutoAnalyzer, we optimize two parallel programs with performance improvements by minimally 20% and maximally 170%.",low,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,It is retained for deduplication and audit but is not a priority addition.,false,,,arxiv:1002.4264,arxiv:1002.4264,1775738424382426152,,,,,,,0.023708920187793428,B8,,,,,,triaged,expansion_round_1,b3/expansion-registry.json | b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
Energy Optimal Transmission Scheduling in Wireless Sensor Networks,arxiv:1003.0054,"One of the main issues in the design of sensor networks is energy efficient communication of time-critical data. Energy wastage can be caused by failed packet transmission attempts at each node due to channel dynamics and interference. Therefore transmission control techniques that are unaware of the channel dynamics can lead to suboptimal channel use patterns. In this paper we propose a transmission controller that utilizes different ""grades"" of channel side information to schedule packet transmissions in an optimal way, while meeting a deadline constraint for all packets waiting in the transmission queue. The wireless channel is modeled as a finite-state Markov channel. We are specifically interested in the case where the transmitter has low-grade channel side information that can be obtained based solely on the ACK/NAK sequence for the previous transmissions. Our scheduler is readily implementable and it is based on the dynamic programming solution to the finite-horizon transmission control problem. We also calculate the information theoretic capacity of the finite state Markov channel with feedback containing different grades of channel side information including that, obtained through the ACK/NAK sequence. We illustrate that our scheduler achieves a given throughput at a power level that is fairly close to the fundamental limit achievable over the channel.",medium,B5,primary_assignment,"The abstract links sensor, observation, action, actuator, or telemetry transport behavior to a robotic episode or control outcome.","It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",true,"Rahul Srivastava, Can Emre Koksal",,arxiv:1003.0054,arxiv:1003.0054,5195814777527052020,,q39-found-realtime,,,76,103.595,0.8859476187202091,B5,Firecrawl Research search-papers abstract; full text not assumed,,C:\Users\moham\Documents\Codex\2026-08-29\organize-x20\work\reflex-research\program-b\b5\evidence\read\076-arxiv_1003.0054.json,,,triaged,primary_assignment,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q39-found-realtime.json,b5/abstract-triage.jsonl,complete,1
Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,arxiv:1003.0955,"As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.",high,B3,primary_assignment,Performs precise black-box request tracing and represents causal request paths with component activity graphs.,"Directly relevant where Reflex services, connectors, or middleware cannot be instrumented internally.",true,,2010,arxiv:1003.0955,arxiv:1003.0955,8811220115148131552,,35-classic-tracing,firecrawl research search-papers,foundational,35,18.833970308388608,0.5190337668182148,B3,Firecrawl Research search-papers abstract; full text not assumed,inspect-arxiv_1003.0955.json,available-text,,inspect-arxiv_1003.0955.json,triaged,primary_assignment,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/canonical-registry.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b8/canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/foundational-02.json | b8/raw/mechanism-03.json,b3/triage.jsonl,complete,1
Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,arxiv:1003.0955,"As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.",medium,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",true,,2010,arxiv:1003.0955,arxiv:1003.0955,8811220115148131552,,robot middleware message tracing causal graphs end-to-end latency instrumentation | foundational distributed tracing end-to-end latency causal path instrumentation,firecrawl research search-papers,foundational,35,18.833970308388608,0.8833970308388606,B8,Firecrawl Research search-papers abstract; full text not assumed,inspect-arxiv_1003.0955.json,available-text,,inspect-arxiv_1003.0955.json,triaged,expansion_round_1,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q35-classic-tracing.json | b3/read-evidence-manifest.jsonl | b3/registry.json | b7/canonical-registry.json | b7/raw-retrieval/q15-mechanism-causal-trace.json | b8/canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json | b8/raw/foundational-02.json | b8/raw/mechanism-03.json,b8/expansion-triage.jsonl,complete,1
Decreasing log data of multi-tier services for effective request tracing,arxiv:1003.0959,"Previous work shows request tracing systems help understand and debug the performance problems of multi-tier services. However, for large-scale data centers, more than hundreds of thousands of service instances provide online service at the same time. Previous work such as white-box or black box tracing systems will produce large amount of log data, which would be correlated into large quantities of causal paths for performance debugging. In this paper, we propose an innovative algorithm to eliminate valueless logs of multitiers services. Our experiment shows our method filters 84% valueless causal paths and is promising to be used in large-scale data centers.",low,B8,expansion_round_1,Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,It is retained for deduplication and audit but is not a priority addition.,false,,,arxiv:1003.0959,arxiv:1003.0959,8811233309287670084,,,,,,,0.02162014230979748,B8,,,,,,triaged,expansion_round_1,b8/expansion-registry.json,b8/expansion-triage.jsonl,complete,1
The Low Latency Fault Tolerance System,arxiv:1004.1864,"The Low Latency Fault Tolerance (LLFT) system provides fault tolerance for distributed applications, using the leader-follower replication technique. The LLFT system provides application-transparent replication, with strong replica consistency, for applications that involve multiple interacting processes or threads. The LLFT system comprises a Low Latency Messaging Protocol, a Leader-Determined Membership Protocol, and a Virtual Determinizer Framework. The Low Latency Messaging Protocol provides reliable, totally ordered message delivery by employing a direct group-to-group multicast, where the message ordering is determined by the primary replica in the group. The Leader-Determined Membership Protocol provides reconfiguration and recovery when a replica becomes faulty and when a replica joins or leaves a group, where the membership of the group is determined by the primary replica. The Virtual Determinizer Framework captures the ordering information at the primary replica and enforces the same ordering at the backup replicas for major sources of non-determinism, including multi-threading, time-related operations and socket communication. The LLFT system achieves low latency message delivery during normal operation and low latency reconfiguration and recovery when a fault occurs.",medium,B5,primary_assignment,"The abstract examines event-time processing, late or out-of-order data, stream windows, watermarks, or message ordering.","It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",true,"Wenbing Zhao, P. M. Melliar-Smith, L. E. Moser",,arxiv:1004.1864,arxiv:1004.1864,5889143153570527669,,q12-syn-pubsub | q34-adj-distributed,,,35,99.476,0.8147613115848285,B5,Firecrawl Research search-papers abstract; full text not assumed,,C:\Users\moham\Documents\Codex\2026-08-29\organize-x20\work\reflex-research\program-b\b5\evidence\read\035-arxiv_1004.1864.json,,,triaged,primary_assignment,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q12-syn-pubsub.json | b5/raw-retrieval/q34-adj-distributed.json,b5/abstract-triage.jsonl,complete,1
Optimal Gradient Clock Synchronization in Dynamic Networks,arxiv:1005.2894,"We study the problem of clock synchronization in highly dynamic networks, where communication links can appear or disappear at any time. The nodes in the network are equipped with hardware clocks, but the rate of the hardware clocks can vary arbitrarily within specific bounds, and the estimates that nodes can obtain about the clock values of other nodes are inherently inaccurate. Our goal in this setting is to output a logical clock at each node such that the logical clocks of any two nodes are not too far apart, and nodes that remain close to each other in the network for a long time are better synchronized than distant nodes. This property is called gradient clock synchronization. Gradient clock synchronization has been widely studied in the static setting, where the network topology does not change. We show that the asymptotically optimal bounds obtained for the static case also apply to our highly dynamic setting: if two nodes remain at distance d from each other for sufficiently long, it is possible to upper bound the difference between their clock values by O(d (D / d)), where D is the diameter of the network. This is known to be optimal even for static networks. Furthermore, we show that our algorithm has optimal stabilization time: when a path of length d appears between two nodes, the time required until the clock skew between the two nodes is reduced to O(d (D / d)) is O(D), which we prove to be optimal. Finally, the techniques employed for the more intricate analysis of the algorithm for dynamic graphs provide additional insights that are also of interest for the static setting. In particular, we establish self-stabilization of the gradient property within O(D) time.",medium,B1,primary_assignment,Gradient synchronization bounds local skew as a function of network distance despite dynamic connectivity and oscillator variation.,,true,"Fabian Kuhn, Christoph Lenzen, Thomas Locher, Rotem Oshman",2010,arxiv:1005.2894,arxiv:1005.2894,3404356302515280676,,,,,67,,0.8626527684625688,B1,true,inspect-arxiv_1005.2894.json,,,inspect-arxiv_1005.2894.json,triaged,primary_assignment,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl,complete,2
