pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
2,3,7952815850758365402,A Statistical Approach to Performance Monitoring in Soft Real-Time Distributed Systems,HIGH,B7,A Statistical Approach to Performance Monitoring in Soft Real-Time Distributed Systems,arxiv:0901.2685,"Soft real-time applications require timely delivery of messages conforming to the soft real-time constraints. Satisfying such requirements is a complex task both due to the volatile nature of distributed environments, as well as due to numerous domain-specific factors that affect message latency. Prompt detection of the root-cause of excessive message delay allows a distributed system to react accordingly. This may significantly improve compliance with the required timeliness constraints. In this work, we present a novel approach for distributed performance monitoring of soft-real time distributed systems. We propose to employ recent distributed algorithms from the statistical signal processing and learning domains, and to utilize them in a different context of online performance monitoring and root-cause analysis, for pinpointing the reasons for violation of performance requirements. Our approach is general and can be used for monitoring of any distributed system, and is not limited to the soft real-time domain. We have implemented the proposed framework in TransFab, an IBM prototype of soft real-time messaging fabric. In addition to root-cause analysis, the framework includes facilities to resolve resource allocation problems, such as memory and bandwidth deficiency. The experiments demonstrate that the system can identify and resolve latency problems in a timely fashion.",high,B7,1,B7=high,B7=Uses statistical signal-processing methods in TransFab to monitor latency violations and identify distributed resource causes online.,B7=Root-cause localization of message delay and resource deficiency is directly transferable to middleware telemetry.,B7=true,primary_assignment,,,arxiv:0901.2685,arxiv:0901.2685,7952815850758365402,,13-causal-profiling,,,B7,false,false,false,false,b3/raw-q13-causal-profiling.json | b3/registry.json | b7/assigned-paper-manifest.json | b7/assigned-paper-manifest.jsonl | b7/canonical-registry.json | b7/raw-retrieval/q25-failure-localization.json | b7/raw-retrieval/q30-adjacent-distributed.json,b7/abstract-triage.jsonl
7,3,6229494216697741569,Efficient System-Enforced Deterministic Parallelism,MEDIUM,B8,Efficient System-Enforced Deterministic Parallelism,arxiv:1005.3450,"Deterministic execution offers many benefits for debugging, fault tolerance, and security. Running parallel programs deterministically is usually difficult and costly, however - especially if we desire system-enforced determinism, ensuring precise repeatability of arbitrarily buggy or malicious software. Determinator is a novel operating system that enforces determinism on both multithreaded and multi-process computations. Determinator's kernel provides only single-threaded, ""shared-nothing"" address spaces interacting via deterministic synchronization. An untrusted user-level runtime uses distributed computing techniques to emulate familiar abstractions such as Unix processes, file systems, and shared memory multithreading. The system runs parallel applications deterministically both on multicore PCs and across nodes in a cluster. Coarse-grained parallel benchmarks perform and scale comparably to - sometimes better than - conventional systems, though determinism is costly for fine-grained parallel applications.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,,arxiv:1005.3450,arxiv:1005.3450,6229494216697741569,,,,,B8,false,false,false,false,b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl
12,3,arxiv:1202.0784,Joint Coding and Scheduling Optimization in Wireless Systems with Varying Delay Sensitivities,HIGH,B5,Joint Coding and Scheduling Optimization in Wireless Systems with Varying Delay Sensitivities,arxiv:1202.0784,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Weifei Zeng, Chris T. K. Ng, Muriel Medard",,,arxiv:1202.0784,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
17,3,423601617454160846,FReD: Automated Debugging via Binary Search through a Process Lifetime,MEDIUM,B8,FReD: Automated Debugging via Binary Search through a Process Lifetime,arxiv:1212.5204,"Reversible debuggers have been developed at least since 1970. Such a feature is useful when the cause of a bug is close in time to the bug manifestation. When the cause is far back in time, one resorts to setting appropriate breakpoints in the debugger and beginning a new debugging session. For these cases when the cause of a bug is far in time from its manifestation, bug diagnosis requires a series of debugging sessions with which to narrow down the cause of the bug. For such ""difficult"" bugs, this work presents an automated tool to search through the process lifetime and locate the cause. As an example, the bug could be related to a program invariant failing. A binary search through the process lifetime suffices, since the invariant expression is true at the beginning of the program execution, and false when the bug is encountered. An algorithm for such a binary search is presented within the FReD (Fast Reversible Debugger) software. It is based on the ability to checkpoint, restart and deterministically replay the multiple processes of a debugging session. It is based on GDB (a debugger), DMTCP (for checkpoint-restart), and a custom deterministic record-replay plugin for DMTCP. FReD supports complex, real-world multithreaded programs, such as MySQL and Firefox. Further, the binary search is robust. It operates on multi-threaded programs, and takes advantage of multi-core architectures during replay.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2012,arxiv:1212.5204,arxiv:1212.5204,423601617454160846,,foundational deterministic replay debugging distributed systems record replay,firecrawl research search-papers,foundational,B8,false,false,false,false,b3/raw-q25-replay.json | b3/registry.json | b8/canonical-registry.json | b8/expansion-registry.json | b8/raw/foundational-01.json,b8/expansion-triage.jsonl
22,3,3144655542714532885,Performance vs complexity trade-offs for Markovian networked jump estimators,MEDIUM,B5,Performance vs complexity trade-offs for Markovian networked jump estimators,arxiv:1403.5151,"This paper addresses the design of a state observer for networked systems with random delays and dropouts. The model of plant and network covers the cases of multiple sensors, out-of-sequence and buffered measurements. The measurement outcomes over a finite interval model the network measurement reception scenarios, which follow a Markov distribution. We present a tractable optimization problem to precalculate off-line a finite set of gains of jump observers. The proposed procedure allows us to trade the complexity of the observer implementation for achieved performance. Several examples illustrate that the online computational cost of the observer implementation is lower than that of the Kalman filter, whilst the performance is similar.",medium,B5,1,B5=medium,"B5=The abstract links sensor, observation, action, actuator, or telemetry transport behavior to a robotic episode or control outcome.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Daniel Dolz, Daniel E. Quevedo, Ignacio Peñarrocha, Roberto Sanchis",,arxiv:1403.5151,arxiv:1403.5151,3144655542714532885,,q23-failure-reorder,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q23-failure-reorder.json,b5/abstract-triage.jsonl
27,3,2999704205168867340,Accurate Distributed Time Synchronization in Mobile Wireless Sensor Networks from Noisy Difference Measurements,HIGH,B1,Accurate Distributed Time Synchronization in Mobile Wireless Sensor Networks from Noisy Difference Measurements,arxiv:1412.7888,"We propose a distributed algorithm for time synchronization in mobile wireless sensor networks. Each node can employ the algorithm to estimate the global time based on its local clock time. The problem of time synchronization is formulated as nodes estimating their skews and offsets from noisy difference measurements of offsets and logarithm of skews; the measurements acquired by time-stamped message exchanges between neighbors. A distributed stochastic approximation based algorithm is proposed to ensure that the estimation error is mean square convergent (variance converging to 0) under certain conditions. A sequence of scheduled update instants is used to meet the requirement of decreasing time-varying gains that need to be synchronized across nodes with unsynchronized clocks. Moreover, a modification on the algorithm is also presented to improve the initial convergence speed. Simulations indicate that highly accurate global time estimates can be achieved with the proposed algorithm for long time durations, while the errors in competing algorithms increase over time.",high,B1,1,B1=high,B1=Distributed stochastic approximation estimates skew and offset from noisy pairwise differences while converging over mobile links.,,B1=true,primary_assignment,"Chenda Liao, Prabir Barooah",2014,arxiv:1412.7888,arxiv:1412.7888,2999704205168867340,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q02-synonyms.json | b7/canonical-registry.json | b7/raw-retrieval/q14-mechanism-clock.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
32,3,3641397661182161312,Lightweight Asynchronous Snapshots for Distributed Dataflows,MEDIUM,B5,Lightweight Asynchronous Snapshots for Distributed Dataflows,arxiv:1506.08603,"Distributed stateful stream processing enables the deployment and execution of large scale continuous computations in the cloud, targeting both low latency and high throughput. One of the most fundamental challenges of this paradigm is providing processing guarantees under potential failures. Existing approaches rely on periodic global state snapshots that can be used for failure recovery. Those approaches suffer from two main drawbacks. First, they often stall the overall computation which impacts ingestion. Second, they eagerly persist all records in transit along with the operation states which results in larger snapshots than required. In this work we propose Asynchronous Barrier Snapshotting (ABS), a lightweight algorithm suited for modern dataflow execution engines that minimises space requirements. ABS persists only operator states on acyclic execution topologies while keeping a minimal record log on cyclic dataflows. We implemented ABS on Apache Flink, a distributed analytics engine that supports stateful stream processing. Our evaluation shows that our algorithm does not have a heavy impact on the execution, maintaining linear scalability and performing well with frequent snapshots.",medium,B5,1,B5=medium,"B5=The abstract examines event-time processing, late or out-of-order data, stream windows, watermarks, or message ordering.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Paris Carbone, Gyula Fóra, Stephan Ewen, Seif Haridi, Kostas Tzoumas",,arxiv:1506.08603,arxiv:1506.08603,3641397661182161312,,q08-syn-exactly-once | q27-failure-stream,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q08-syn-exactly-once.json | b5/raw-retrieval/q27-failure-stream.json,b5/abstract-triage.jsonl
37,3,5541644419030296322,Systematic and Realistic Testing in Simulation of Control Code for Robots in Collaborative Human-Robot Interactions,HIGH,B8,Systematic and Realistic Testing in Simulation of Control Code for Robots in Collaborative Human-Robot Interactions,arxiv:1511.01354,"Industries such as flexible manufacturing and home care will be transformed by the presence of robotic assistants. Assurance of safety and functional soundness for these robotic systems will require rigorous verification and validation. We propose testing in simulation using Coverage-Driven Verification (CDV) to guide the testing process in an automatic and systematic way. We use a two-tiered test generation approach, where abstract test sequences are computed first and then concretized (e.g., data and variables are instantiated), to reduce the complexity of the test generation problem. To demonstrate the effectiveness of our approach, we developed a testbench for robotic code, running in ROS-Gazebo, that implements an object handover as part of a human-robot interaction (HRI) task. Tests are generated to stimulate the robot's code in a realistic manner, through stimulating the human, environment, sensors, and actuators in simulation. We compare the merits of unconstrained, constrained and model-based test generation in achieving thorough exploration of the code under test, and interesting combinations of human-robot interactions. Our results show that CDV combined with systematic test generation achieves a very high degree of automation in simulation-based verification of control code for robots in HRI.",high,B8,1,B8=high,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2015,1511.01354 | 5541644419030296322 | arxiv:1511.01354,arxiv:1511.01354,5541644419030296322,,,,,B8,false,false,false,false,b8/expansion-canonical-registry.json | b8/expansion-follow-up-manifest.json | b8/expansion-inspection-manifest.json | b8/expansion-registry.json,b8/expansion-triage.jsonl
42,3,7865894743450843231,Update or Wait: How to Keep Your Data Fresh,HIGH,B5,Update or Wait: How to Keep Your Data Fresh,arxiv:1601.02284,"In this work, we study how to optimally manage the freshness of information updates sent from a source node to a destination via a channel. A proper metric for data freshness at the destination is the age-of-information, or simply age, which is defined as how old the freshest received update is since the moment that this update was generated at the source node (e.g., a sensor). A reasonable update policy is the zero-wait policy, i.e., the source node submits a fresh update once the previous update is delivered and the channel becomes free, which achieves the maximum throughput and the minimum delay. Surprisingly, this zero-wait policy does not always minimize the age. This counter-intuitive phenomenon motivates us to study how to optimally control information updates to keep the data fresh and to understand when the zero-wait policy is optimal. We introduce a general age penalty function to characterize the level of dissatisfaction on data staleness and formulate the average age penalty minimization problem as a constrained semi-Markov decision problem (SMDP) with an uncountable state space. We develop efficient algorithms to find the optimal update policy among all causal policies, and establish sufficient and necessary conditions for the optimality of the zero-wait policy. Our investigation shows that the zero-wait policy is far from the optimum if (i) the age penalty function grows quickly with respect to the age, (ii) the packet transmission times over the channel are positively correlated over time, or (iii) the packet transmission times are highly random (e.g., following a heavy-tail distribution).",high,B5,1,B5=high,"B5=The abstract exposes timing, deadline, timestamp, sequence, causal, or clock-synchronization mechanisms relevant to transport attribution.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Yin Sun, Elif Uysal-Biyikoglu, Roy D. Yates, C. Emre Koksal, Ness B. Shroff",,arxiv:1601.02284,arxiv:1601.02284,7865894743450843231,,q02-direct-freshness | q38-found-aoi,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q02-direct-freshness.json | b5/raw-retrieval/q38-found-aoi.json,b5/abstract-triage.jsonl
47,3,3832496178776136625,AccuracyTrader: Accuracy-aware Approximate Processing for Low Tail Latency and High Result Accuracy in Cloud Online Services,HIGH,B4,AccuracyTrader: Accuracy-aware Approximate Processing for Low Tail Latency and High Result Accuracy in Cloud Online Services,arxiv:1607.02734,"Modern latency-critical online services such as search engines often process requests by consulting large input data spanning massive parallel components. Hence the tail latency of these components determines the service latency. To trade off result accuracy for tail latency reduction, existing techniques use the components responding before a specified deadline to produce approximate results. However, they may skip a large proportion of components when load gets heavier, thus incurring large accuracy losses. This paper presents AccuracyTrader that produces approximate results with small accur",high,B4,1,B4=high,B4=tail; schedule,"B4=Expansion seed adds an independent queueing, scheduling, contention, transport, or tail-latency mechanism for cross-checking the B4 synthesis and Reflex transfer path.",B4=true,expansion_round_1,,,arxiv:1607.02734,arxiv:1607.02734,3832496178776136625,,12-variance,,,B4,false,false,false,false,b3/raw-q12-variance.json | b3/registry.json | b4/expansion/expansion-followup-manifest.jsonl,b4/expansion/expansion-followup-triage.jsonl
