"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","reason"
"5","arxiv:1103.5708","Planning to Be Surprised: Optimal Bayesian Exploration in Dynamic Environments","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"18","arxiv:1211.1323","Sample Size Planning for Classification Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"31","arxiv:1406.2462","Empirical risk minimization for heavy-tailed losses","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"44","arxiv:1503.01161","The Bayesian Case Model: A Generative Approach for Case-Based Reasoning and Prototype Classification","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"57","arxiv:1507.01279","Scan B-Statistic for Kernel Change-Point Detection","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"70","arxiv:1512.03216","Functional Data Analysis of Amplitude and Phase Variation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"83","arxiv:1603.00448","Guided Cost Learning: Deep Inverse Optimal Control via Policy Optimization","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"96","arxiv:1605.07700","Learning Purposeful Behaviour in the Absence of Rewards","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"109","arxiv:1609.05140","The Option-Critic Architecture","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"122","arxiv:1611.06067","An End-to-End Spatio-Temporal Attention Model for Human Action Recognition from Skeleton Data","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"135","arxiv:1703.00727","Deep Predictive Policy Training using Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"148","arxiv:1703.06907","Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"161","arxiv:1705.02233","S-OHEM: Stratified Online Hard Example Mining for Object Detection","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"174","arxiv:1706.08090","Count-Based Exploration in Feature Space for Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"187","arxiv:1709.04571","When Waiting is not an Option : Learning Options with a Deliberation Cost","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"200","arxiv:1710.11248","Learning Robust Rewards with Adversarial Inverse Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"213","arxiv:1802.01744","Shared Autonomy via Deep Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"226","arxiv:1803.10699","Weakly-Supervised Action Segmentation with Iterative Soft Boundary Assignment","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"239","arxiv:1806.05358","Defending Against Saddle Point Attack in Byzantine-Robust Distributed Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"252","arxiv:1810.00466","Interactive Learning with Corrective Feedback for Policies based on Deep Neural Networks","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"265","arxiv:1811.04324","Diversity-Driven Extensible Hierarchical Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"278","arxiv:1901.09387","Imitation Learning from Imperfect Demonstration","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"291","arxiv:1903.11027","nuScenes: A multimodal dataset for autonomous driving","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"304","arxiv:1905.12149","SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"317","arxiv:1906.08928","Learning Reward Functions by Integrating Human Demonstrations and Preferences","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"330","arxiv:1908.05224","Multi-Agent Manipulation via Locomotion using Hierarchical Sim2Real","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"343","arxiv:1910.04365","Asking Easy Questions: A User-Friendly Approach to Active Reward Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"356","arxiv:1912.13465","Reward-Conditioned Policies","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"369","arxiv:2003.06085","Learning to Generalize Across Long-Horizon Tasks from Human Demonstrations","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"382","arxiv:2005.09743","On Evaluating Weakly Supervised Action Segmentation Methods","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"395","arxiv:2008.04899","Visual Imitation Made Easy","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"408","arxiv:2010.06215","Few-shot Action Recognition with Implicit Temporal Alignment and Pair Similarity Optimization","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"421","arxiv:2010.14406","Transporter Networks: Rearranging the Visual World for Robotic Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"434","arxiv:2101.02725","Interpreting Contact Interactions to Overcome Failure in Robot Assembly Tasks","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"447","arxiv:2103.04551","Behavior From the Void: Unsupervised Active Pre-Training","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"460","arxiv:2104.02577","Learnable Dynamic Temporal Pooling for Time Series Classification","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"473","arxiv:2106.09647","Deep Learning Through the Lens of Example Difficulty","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"486","arxiv:2107.14206","Using Visual Anomaly Detection for Task Execution Monitoring","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"499","arxiv:2109.07217","Progressive Hard-case Mining across Pyramid Levels for Object Detection","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"512","arxiv:2110.03212","Influence Tuning: Demoting Spurious Correlations via Instance Attribution and Instance-Driven Updates","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"525","arxiv:2110.14392","TaylorSwiftNet: Taylor Driven Temporal Modeling for Swift Future Frame Prediction","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"538","arxiv:2112.05251","Error-Aware Imitation Learning from Teleoperation Data for Mobile Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"551","arxiv:2202.01288","Imitation Learning by Estimating Expertise of Demonstrators","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"564","arxiv:2203.16784","Video-Text Representation Learning via Differentiable Weak Temporal Alignment","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"577","arxiv:2205.04195","Disturbance-Injected Robust Imitation Learning with Task Achievement","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"590","arxiv:2206.11180","Optimal transport meets noisy label robust loss and MixUp regularization for domain adaptation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"603","arxiv:2209.05451","Perceiver-Actor: A Multi-Task Transformer for Robotic Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"616","arxiv:2210.02343","Visual Backtracking Teleoperation: A Data Collection Protocol for Offline Image-Based Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"629","arxiv:2210.10899","Learning Preferences for Interactive Autonomy","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"642","arxiv:2211.10754","HALSIE: Hybrid Approach to Learning Segmentation by Simultaneously Exploiting Image and Event Modalities","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"655","arxiv:2212.10722","Contrastive Error Attribution for Finetuned Language Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"668","arxiv:2301.12230","Continual Graph Learning: A Survey","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"681","arxiv:2302.05614","Cross-domain Random Pre-training with Prototypes for Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"694","arxiv:2303.04592","Controlled Diversity with Preference : Towards Learning a Diverse Set of Desired Skills","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"707","arxiv:2304.02052","Online augmentation of learned grasp sequence policies for more adaptable and data-efficient in-hand manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"720","arxiv:2305.00126","Event-Free Moving Object Segmentation from Moving Ego Vehicle","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"733","arxiv:2305.18248","Do Language Models Know When They're Hallucinating References?","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"746","arxiv:2306.15724","REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"759","arxiv:2307.11049","Breadcrumbs to the Goal: Goal-Conditioned Exploration from Human-in-the-Loop Feedback","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"772","arxiv:2309.01918","RoboAgent: Generalization and Efficiency in Robot Manipulation via Semantic Augmentations and Action Chunking","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"785","arxiv:2310.08100","Generative Intrinsic Optimization: Intrinsic Control with Model Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"798","arxiv:2310.17552","Model-Based Runtime Monitoring with Interactive Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"811","arxiv:2311.10284","From ""Thumbs Up"" to ""10 out of 10"": Reconsidering Scalar Feedback in Interactive Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"824","arxiv:2312.17168","Can Active Sampling Reduce Causal Confusion in Offline Reinforcement Learning?","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"837","arxiv:2402.01886","Inverse Reinforcement Learning by Estimating Expertise of Demonstrators","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"850","arxiv:2402.08424","Conditional Neural Expert Processes for Learning Movement Primitives from Demonstration","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"863","arxiv:2402.18319","A Multimodal Handover Failure Detection Dataset and Baselines","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
