paper_id,title,source_url,abstract,found_by,gem_lanes,review_pass,technical_mechanism,why_it_works,root_seam,experiment,evidence_quote,evidence_location,reported_gain,baseline,uncertainty
arxiv:0705.4476,Network tomography based on 1-D projections,https://arxiv.org/abs/0705.4476,"Network tomography has been regarded as one of the most promising methodologies for performance evaluation and diagnosis of the massive and decentralized Internet. This paper proposes a new estimation approach for solving a class of inverse problems in network tomography, based on marginal distributions of a sequence of one-dimensional linear projections of the observed data. We give a general identifiability result for the proposed method and study the design issue of these one dimensional projections in terms of statistical efficiency. We show that for a simple Gaussian tomography model, there is an optimal set of one-dimensional projections such that the estimator obtained from these projections is asymptotically as efficient as the maximum likelihood estimator based on the joint distribution of the observed data. For practical applications, we carry out simulation studies of the proposed method for two instances of network tomography. The first is for traffic demand tomography using a Gaussian Origin-Destination traffic model with a power relation between its mean and variance, and the second is for network delay tomography where the link delays are to be estimated from the end-to-end path delays. We compare estimators obtained from our method and that obtained from using the joint distribution and other lower dimensional projections, and show that in both cases, the proposed method yields satisfactory results.",firecrawl,n10,3,"Selected 1-D projections of end-to-end path-delay observations are used to estimate latent per-link queuing-delay distributions from the routing matrix, rather than fitting the full joint distribution. The projections are designed for identifiability and statistical efficiency.","Paths combine delays from different subsets of links, so their joint observations contain clues about which link distributions contribute to the measured end-to-end delays. The method retains information through selected marginal projections; for the paper’s simple Gaussian model, it proves asymptotic efficiency comparable to joint-distribution maximum likelihood. This offers a concrete way to diagnose shared versus path-specific link delay with a lower-dimensional estimator, though it does not establish fewer raw delay samples or guarantee tail-event localization.","Attach to request-correlated end-to-end delay samples across paths with known routing, ideally simultaneous measurements over paths sharing some links. Apply the routing matrix and selected projections to infer link queuing-delay distributions. This could localize network-side delay contributions without access to Reflex’s private infrastructure. It does not distinguish network delay from server queueing, GPU compute, or action application unless those are separately timestamped or excluded.","In a controlled network with known routes, inject a queuing-delay distribution on one link and collect end-to-end delay samples for paths that share or avoid that link. Compare selected-projection estimates with joint-distribution and arbitrary-projection estimates as the number of projections and samples are varied. Measure link-distribution estimation error and localization of the injected delay; separately timestamp server queueing, GPU compute, and action application to check attribution boundaries.",The network delay tomography problem is to infer the distribution of X from independent samples of Y.,"Retrieved passage, Section 4.2, “Network delay tomography using mixture modeling of link delays”; the same passage defines Y = AX and specifies that X contains internal link delays.",UNKNOWN,Joint-distribution estimation and other lower-dimensional projections; the abstract reports comparison but gives no quantitative gain.,"The paper supports link-delay distribution inference and gives a Gaussian-model efficiency result, with simulation evidence that selected projections perform satisfactorily. It does not show that the method needs fewer raw samples, quantify tail-localization performance, or test Root or robot inference. Its estimated delays are queuing delays, not a complete end-to-end attribution across network and compute."
arxiv:0806.2550,Proposition and validation of an original MAC layer with simultaneous medium accesses for low latency wireless control/command applications,https://arxiv.org/abs/0806.2550,"Control/command processes require a transmission system with some characteristics like high reliability, low latency and strong guarantees on messages delivery. Concerning wire networks, field buses technologies like FIP offer this kind of service (periodic tasks, real time constraints...). Unfortunately, few wireless technologies can propose a communication system which respects such constraints. Indeed, wireless transmissions must deal with medium characteristics which make impossible the direct translation of mechanisms used with wire networks. The purpose of this paper is to present an original Medium Access Control (MAC) layer for a real time Low Power-Wireless Personal Area Network (LP-WPAN). The proposed MAC-layer has been validated by several complementary methods; in this paper, we focus on the specific Simultaneous Guaranteed Time Slot (SGTS) part.",firecrawl,n16,3,"Cross-correlate per-receiver outcomes during simultaneous transmissions with measured synchronization offsets, then equalize node timing as a control. This tests whether a small timing lead, rather than received signal strength alone, explains asymmetric packet reception or collision-related delivery failures.","The paper connects a node's reception advantage to its measured temporal advance and then repeats measurements with equalized synchronization. This is more diagnostic than logging losses alone: it offers a testable way to distinguish timing-skew-related interference from signal-strength effects. Applied to Root, packet/ACK timing and loss observations could reveal a wireless cause of delayed or missing requests, separately from server queueing, GPU compute, and action application.","At the robot-side wireless transport boundary, attach request or packet identity to transmit timestamps, receiver ACK/reception outcomes, and available synchronization offset. Correlate tail requests with overlapping transmissions and timing leads; this adds a causal test for radio timing/interference without requiring Reflex's private infrastructure.","In a controlled wireless test, induce rare delayed or missing request deliveries under overlapping transmissions. Record packet identities, transmit/receive and ACK timestamps, receiver outcomes, signal strength, and node clock offset. Compare natural offset against a timing-equalized condition while holding traffic and signal conditions fixed; test whether tail events track the leading node or collisions and whether the association changes when the offset is removed.",We have made a cross-comparison of these two studies and determined that the favourite node in the SGTS study is the one which takes the temporal advance in the synchronisation study.,"Supplied passage, SGTS hardware-prototyping results, discussion immediately before the equal-synchronization follow-up study.",UNKNOWN,UNKNOWN,"The paper reports reception-success and collision-related tests, not tail-latency measurements or remote-inference results. Its equal-synchronization follow-up reports equalized node behavior, but the supplied text does not establish a measured latency improvement. Root would need to test whether this timing-offset diagnostic applies to its wireless transport and tail events."
arxiv:0907.1061,Boolean Compressed Sensing and Noisy Group Testing,https://arxiv.org/abs/0907.1061,"The fundamental task of group testing is to recover a small distinguished subset of items from a large population while efficiently reducing the total number of tests (measurements). The key contribution of this paper is in adopting a new information-theoretic perspective on group testing problems. We formulate the group testing problem as a channel coding/decoding problem and derive a single-letter characterization for the total number of tests used to identify the defective set. Although the focus of this paper is primarily on group testing, our main result is generally applicable to other compressive sensing models. The single letter characterization is shown to be order-wise tight for many interesting noisy group testing scenarios. Specifically, we consider an additive Bernoulli(q) noise model where we show that, for N items and K defectives, the number of tests T is O(KN1-q) for arbitrarily small average error probability and O(K²N1-q) for a worst case error criterion. We also consider dilution effects whereby a defective item in a positive pool might get diluted with probability u and potentially missed. In this case, it is shown that T is O(KN(1-u)²) and O(K²N(1-u)²) for the average and the worst case error criteria, respectively. Furthermore, our bounds allow us to verify existing known bounds for noiseless group testing including the deterministic noise-free case and approximate reconstruction with bounded distortion. Our proof of achievability is based on random coding and the analysis of a Maximum Likelihood Detector, and our information theoretic lower bound is based on Fano's inequality.",firecrawl,n10,3,"Non-adaptive noisy group testing: assign candidate causes to coded pools, record each pool's binary outcome, then use maximum-likelihood decoding to recover a sparse set of causes.","Each pooled measurement covers multiple candidates, and distinct codewords make sparse cause sets distinguishable from their combined outcomes. The paper explicitly models false-positive and missed-positive test noise, so the decoder need not treat every pool result as infallible. This is a concrete route to distinguishing sparse causes with fewer measurements, although it diagnoses only when Root can define meaningful pool tests with interpretable binary outcomes.","Attach at a controlled diagnostic-probe or fault-injection harness: define candidate network causes (separately from server queueing, GPU compute, and action application), assign them to non-adaptive probe pools, and retain each pool's tail/non-tail outcome. Decode the sparse cause set rather than measuring each cause independently. The paper does not supply a mapping from network causes to pool outcomes; Root must establish that experimentally.","In a controlled testbed, select a known sparse subset of injected network impairments and compare individually tested causes with randomized coded pools and maximum-likelihood decoding. Repeat with false-positive and missed-positive outcomes, and measure cause-identification accuracy and number of probes at matched error rates. Include server-queue and GPU-load controls to test whether outcomes distinguish network causes rather than merely flagging slow requests.",The outcome of a test is positive if and only if the second item is a member of that test.,"Selected PDF text, introduction, description of the group-testing example; noisy models and maximum-likelihood decoding are described in the abstract and selected PDF text.",Theoretical test-count bounds for noisy group testing; no empirical or Root-specific gain is reported.,UNKNOWN,"The coded pooling and sparse decoding operation is explicit and directly addresses reducing measurements for cause identification. The paper does not establish that network tail causes can be tested as pooled Boolean outcomes, nor does it demonstrate network-delay localization; the controlled Root experiment must validate that transfer."
arxiv:1003.0955,Precise Request Tracing and Performance Debugging for Multi-tier Services of Black Boxes,https://arxiv.org/abs/1003.0955,"As more and more multi-tier services are developed from commercial components or heterogeneous middleware without the source code available, both developers and administrators need a precise request tracing tool to help understand and debug performance problems of large concurrent services of black boxes. Previous work fails to resolve this issue in several ways: they either accept the imprecision of probabilistic correlation methods, or rely on knowledge of protocols to isolate requests in pursuit of tracing accuracy. This paper introduces a tool named PreciseTracer to help debug performance problems of multi-tier services of black boxes. Our contributions are two-fold: first, we propose a precise request tracing algorithm for multi-tier services of black boxes, which only uses application-independent knowledge; secondly, we present a component activity graph abstraction to represent causal paths of requests and facilitate end-to-end performance debugging. The low overhead and tolerance of noise make PreciseTracer a promising tracing tool for using on production systems.",firecrawl | related:references | related:similar,n01,3,"Correlate kernel TCP SEND/RECEIVE activity into per-request causal graphs. The method matches activity using endpoint and message-size information, along with process/thread context and event order, then compares component and interaction latency shares across request paths.","The graph attributes time to either work within a component or an interaction between components, so a changed interaction share can flag a transport boundary for investigation. The paper reports this exposing a network problem in an injected Ethernet-driver case. This is transferable request-to-transport causal reconstruction, though not packet-, ACK-, or loss-level diagnosis; cross-node interaction timing is also vulnerable to clock skew.","On robot and inference-server hosts, collect request-associated TCP send/receive events with timestamps, endpoint tuples, message sizes, and process/thread context. Build per-request interaction timelines and compare tail requests with healthy requests. This could localize an anomalous transport interaction without requiring application protocol knowledge, but would not alone separate network transit from endpoint waiting, server queueing, GPU compute, or action application.","Replay matched remote-inference requests with controlled network delay or loss, and separately inject server queueing and GPU delay. Correlate request-linked TCP events into causal graphs; test whether tail-request interaction shares identify the affected boundary and distinguish network perturbations from server-side delays. Measure localization accuracy, clock-skew sensitivity, missing-event effects, and collection overhead.",Our experiments show we can pinpoint performance problems by using CAGs to calculate changes in observed latency percentages of components.,"Selected PDF text, Section 2 overview; network-injection diagnostic example in Section 5.4.2, “Identifying performance bottleneck.”",UNKNOWN,UNKNOWN,"The method correlates TCP SEND/RECEIVE activities, not individual packets or ACK/loss sequences, and does not establish a sparse packet-trace representation. Cross-node interaction latency is inaccurate without clock-skew correction. The reported network diagnosis uses latency percentages and does not demonstrate network-tail diagnosis in Root."
arxiv:1012.4889,"Tight Bounds for Lp Samplers, Finding Duplicates in Streams, and Related Problems",https://arxiv.org/abs/1012.4889,"In this paper, we present near-optimal space bounds for Lp-samplers. Given a stream of updates (additions and subtraction) to the coordinates of an underlying vector x ∈ Rⁿ, a perfect Lp sampler outputs the i-th coordinate with probability |xi|p/||x||pp. In SODA 2010, Monemizadeh and Woodruff showed polylog space upper bounds for approximate Lp-samplers and demonstrated various applications of them. Very recently, Andoni, Krauthgamer and Onak improved the upper bounds and gave a O(ε-p log³ n) space ε relative error and constant failure rate Lp-sampler for p ∈ [1,2]. In this work, we give another such algorithm requiring only O(ε-p log² n) space for p ∈ (1,2). For p ∈ (0,1), our space bound is O(ε⁻¹ log² n), while for the p=1 case we have an O(log(1/ε)ε⁻¹ log² n) space algorithm. We also give a O(log² n) bits zero relative error L0-sampler, improving the O(log³ n) bits algorithm due to Frahling, Indyk and Sohler. As an application of our samplers, we give better upper bounds for the problem of finding duplicates in data streams. In case the length of the stream is longer than the alphabet size, L1 sampling gives us an O(log² n) space algorithm, thus improving the previous O(log³ n) bound due to Gopalan and Radhakrishnan. In the second part of our work, we prove an Omega(log² n) lower bound for sampling from 0, ± 1 vectors (in this special case, the parameter p is not relevant for Lp sampling). This matches the space of our sampling algorithms for constant ε > 0. We also prove tight space lower bounds for the finding duplicates and heavy hitters problems. We obtain these lower bounds using reductions from the communication complexity problem augmented indexing.",related:similar,n09,3,"Precision-sampling sketch: maintain a compact CountSketch of randomly scaled per-request signal values, then output a coordinate sampled with probability proportional to its magnitude raised to p.","The sampling distribution deliberately favors large-magnitude coordinates, while the streaming sketch avoids retaining every coordinate. Applied to per-request network-delay values, it could preserve a compact set of tail-request identities and estimates for follow-up inspection. This exposes and localizes candidate slow requests, but does not by itself distinguish transport delay from server queueing or preserve packet-level causal evidence.","At request completion, update a streaming sketch keyed by request identity with a network-specific delay value derived from robot/server transport timestamps. Retain sampled request IDs and estimates, then use them to retrieve detailed traces if available. This could reduce always-on trace retention while keeping weighted tail exemplars; it does not require Reflex-private infrastructure.","On controlled Root replays, stream request-keyed transport-delay values into the sampler and compare its retained identities and estimates against full trace retention and ordinary random sampling. Inject transport-tail regressions separately from server-queueing, GPU-compute, and action-application slowdowns. Measure whether sampled records identify the transport-tail requests and whether the signal separates those cases; do not treat the paper's space result as a Root gain.","Roughly speaking, the idea of precision sampling is to scale the input vector with random coefficients so that the i-th coordinate becomes the maximum with probability roughly proportional to |xi| p. Moreover the maximum (heavy) coordinate is found through a small-space heavy hitter algorithm.","selected_pdf_text, paragraph beginning “bring down the space upper bounds”","For p in (1,2), the paper reports O(ε^-p log² n) space, saving a log factor over the cited O(ε^-p log³ n) sampler; this is a streaming-space result, not a Root diagnostic gain.","For p in [1,2], the cited prior sampler uses O(ε^-p log³ n) space.","The sampler's weighted-coordinate output is supported, but the paper does not evaluate request-level network signals, causal attribution, or whether sampled records retain enough detail for diagnosis. Root must validate that the chosen signal and sampling distribution reliably surface injected transport tails."
arxiv:1106.0941,Link Delay Estimation via Expander Graphs,https://arxiv.org/abs/1106.0941,"One of the purposes of network tomography is to infer the status of parameters (e.g., delay) for the links inside a network through end-to-end probing between (external) boundary nodes along predetermined routes. In this work, we apply concepts from compressed sensing and expander graphs to the delay estimation problem. We first show that a relative majority of network topologies are not expanders for existing expansion criteria. Motivated by this challenge, we then relax such criteria, enabling us to acquire simulation evidence that link delays can be estimated for 30% more networks. That is, our relaxation expands the list of identifiable networks with bounded estimation error by 30%. We conduct a simulation performance analysis of delay estimation and congestion detection on the basis of l1 minimization, demonstrating that accurate estimation is feasible for an increasing proportion of networks.",firecrawl,n10,2,"Use the known routing matrix to model end-to-end probe delays as sums of link delays, then apply expander-graph conditions and l1 sparse recovery to estimate per-link delays and identify congested links.","When only a small number of links have large delays, end-to-end measurements across overlapping paths provide a sparse linear system. The expander conditions establish when those measurements can distinguish and recover the elevated link delays, even with fewer measurements than links. Relaxing the expansion bound makes more given routing matrices eligible, at the cost of a bounded estimation error.","Attach probe timing to request-correlated paths between robot and server, form a routing matrix for the traversed network, and recover likely high-delay links from path-delay sums. This could localize a shared network bottleneck across requests, but would require known routes or a defensible path-to-link model; the paper does not attribute delay to off-path flows or separate network delay from server queueing, GPU compute, or action application.","On a controlled robot-inference path, inject delay on a known small set of network links while collecting end-to-end probe delays over known overlapping routes. Compare recovered link delays and congestion locations against ground truth and a non-sparse tomography baseline; separately vary the number of probes to test recovery with fewer measurements. Keep server queueing and compute timings separately instrumented.",We exploit the LP optimization in Eq. (8) to estimate link delays for k-identifiable expander networks.,"Selected PDF text, Section IV-C, “Delay Estimation: Simulation Experiments”",Simulation reports that relaxing the expansion bound increases the number of networks satisfying the expansion property by almost 30%; it also reports lower estimation-error CDF than the CF-estimator baseline.,"CF-estimator (Chen, Cao, and Bu) for the estimation-error comparison; the expansion-property comparison uses the prior bound ε < 1/6.","The method assumes a given routing matrix and sparse link-delay vector. The context does not establish that these assumptions hold for robot-inference paths or provide evidence about noisy, changing routes, off-path-flow attribution, or separation of network delay from compute and queueing."
arxiv:1108.1377,Sparsity without the Complexity: Loss Localisation using Tree Measurements,https://arxiv.org/abs/1108.1377,"We study network loss tomography based on observing average loss rates over a set of paths forming a tree -- a severely underdetermined linear problem for the unknown link loss probabilities. We examine in detail the role of sparsity as a regularising principle, pointing out that the problem is technically distinct from others in the compressed sensing literature. While sparsity has been applied in the context of tomography, key questions regarding uniqueness and recovery remain unanswered. Our work exploits the tree structure of path measurements to derive sufficient conditions for sparse solutions to be unique and the condition that ℓ₁ minimization recovers the true underlying solution. We present a fast single-pass linear algorithm for ℓ₁ minimization and prove that a minimum ℓ₁ solution is both unique and sparsest for tree topologies. By considering the placement of lossy links within trees, we show that sparse solutions remain unique more often than is commonly supposed. We prove similar results for a noisy version of the problem.",firecrawl,n10,3,"Sparse loss tomography on a tree: use path-level loss estimates and their shared-link structure, then apply UpSparse to recover a compact link-level loss explanation. For finite-probe uncertainty, allow path measurements to vary within confidence intervals and recover a sparse consistent explanation.","Overlapping paths constrain which link-loss patterns can explain the observations. Under the paper's tree and sparsity assumptions, UpSparse efficiently selects a link-level explanation and has stated conditions for uniqueness and recovery of the true losses. At Root, localized loss could expose a network cause of tail events involving retransmission or recovery, rather than merely correlating tails with an end-to-end path. It does not itself diagnose latency or distinguish network delay from server queueing, GPU compute, or action application.","Attach to robot/server probe or transport loss observations, mapping measured paths onto a tree of shared network segments. Root would gain candidate lossy links from sparse path measurements without requiring instrumentation at every link. The paper does not establish that Root can observe a suitable tree or that loss explains its latency tails.","In a controlled tree-shaped test network, inject loss at known links and collect finite-probe path-loss estimates with confidence intervals. Run UpSparse and compare its localized links with link-instrumented ground truth and with dense measurements. For Root requests, separately record transport/network timing, retransmissions or loss, server queueing, GPU time, and action-application time; test whether localized loss corresponds to network-attributed tail events. Do not treat the paper's results as a Root gain.","We define the ‘UpSparse’ algorithm, a fast single-pass linear-time algorithm which outputs the minimal ‘1 solution.","Selected PDF text, Introduction, contributions on recovery; noisy-measurement treatment in Section V.",UNKNOWN,"The paper compares UpSparse with SCFS, a binary path/link failure-set method; it reports higher recovery success for UpSparse in its described experiments, but a quantified gain is UNKNOWN.","The method localizes loss rates, not tail latency. Transfer depends on Root having usable path-loss observations and a tree-like measurement topology; the paper does not show that localized loss causes Root's tails or establish separation from other latency sources."
arxiv:1109.0597,Stealthy Traffic Analysis of Low-Latency Anonymous Communication Using Throughput Fingerprinting,https://arxiv.org/abs/1109.0597,"Anonymity systems such as Tor aim to enable users to communicate in a manner that is untraceable by adversaries that control a small number of machines. To provide efficient service to users, these anonymity systems make full use of forwarding capacity when sending traffic between intermediate relays. In this paper, we show that doing this leaks information about the set of Tor relays in a circuit (path). We present attacks that, with high confidence and based solely on throughput information, can (a) reduce the attacker's uncertainty about the bottleneck relay of any Tor circuit whose throughput can be observed, (b) exactly identify the guard relay(s) of a Tor user when circuit throughput can be observed over multiple connections, and (c) identify whether two concurrent TCP connections belong to the same Tor user, breaking unlinkability. Our attacks are stealthy, and cannot be readily detected by a user or by Tor relays. We validate our attacks using experiments over the live Tor network. We find that the attacker can substantially reduce the entropy of a bottleneck relay distribution of a Tor circuit whose throughput can be observed-the entropy gets reduced by a factor of 2 in the median case. Such information leaks from a single Tor circuit can be combined over multiple connections to exactly identify a user's guard relay(s). Finally, we are also able to link two connections from the same initiator with a crossover error rate of less than 1.5% in under 5 minutes. Our attacks are also more accurate and require fewer resources than previous attacks on Tor.",firecrawl,n02,3,"Concurrent-flow throughput fingerprinting: measure a target flow and ordinary probe flows through candidate paths, then correlate their throughput time series to identify a shared bottleneck resource.","Flows sharing a capacity-constrained relay experience common throughput variation, so correlation can implicate a shared network bottleneck without deliberately congesting it. This provides a concrete way to narrow the candidate shared-resource causes of a request tail; it does not by itself distinguish network delay from server queueing or compute.","At the robot/server transport boundary, associate request identity and synchronized throughput samples with the suspect request and candidate concurrent flows or paths. A correlated probe can point to a shared network bottleneck; separately timestamp server queueing, GPU execution, and action application to avoid attributing those delays to the network.","Replay controlled robot-inference requests while varying whether candidate probe flows share a known constrained network link with the request. Measure synchronized per-flow throughput and request latency. Test whether correlation localizes shared-link cases against disjoint paths and server-only queue/GPU-delay controls, and report false positives and detection time.","We found that the throughput values for the two circuits were highly correlated, measured using the Pearson product-moment correlation coefficient.","Selected PDF text, experimental results for the All-Common scenario.",Median factor-of-2 reduction in bottleneck-relay entropy; connection linking crossover error rate below 1.5% in under 5 minutes.,UNKNOWN,"The experiments concern Tor circuits, not remote robot inference, and do not establish that throughput correlation separates network delay from server queueing, GPU compute, or action application. The proposed Root experiment must validate that transfer; no Root-measured gain is available."
arxiv:1201.2074,Reflection Scan: an Off-Path Attack on TCP,https://arxiv.org/abs/1201.2074,"The paper demonstrates how traffic load of a shared packet queue can be exploited as a side channel through which protected information leaks to an off-path attacker. The attacker sends to a victim a sequence of identical spoofed segments. The victim responds to each segment in the sequence (the sequence is reflected by the victim) if the segments satisfy a certain condition tested by the attacker. The responses do not reach the attacker directly, but induce extra load on a routing queue shared between the victim and the attacker. Increased processing time of packets traversing the queue reveal that the tested condition was true. The paper concentrates on the TCP, but the approach is generic and can be effective against other protocols that allow to construct requests which are conditionally answered by the victim. A proof of concept was created to assess applicability of the method in real-life scenarios.",firecrawl | previous_seed,n02,2,Conditionally trigger victim responses with a sequence of spoofed TCP segments while sending ping probes through a shared router queue; increased probe RTT or loss reveals whether the victim responded.,"The victim's responses add traffic to the shared queue, increasing the delay of probes that traverse it. Repeating queries and retrying ambiguous spikes helps distinguish a response-related signal from incidental spikes.","A controlled Root experiment could send probes through a suspected shared transport bottleneck while inducing or observing a known competing flow, then compare probe RTT/loss with request-tail events. This could indicate shared-queue interference, but the paper does not reconstruct request-to-packet causality or separate network delay from other inference stages.","The authors tested idle, saturated-downlink, and saturated-uplink scenarios on a shared edge router. They sent pings to a router beyond the edge router while spoofed segments elicited TCP responses from the victim, and measured ping RTT and loss.","At the same time, the attacker sends ping probes that share an outbound queue with segments from the victim. Increased round trip time reveals the positive answer to the query.","Selected PDF text, Section 1 Introduction, Figure 1 caption",UNKNOWN,UNKNOWN,"The method assumes the probes and induced responses share a queue, and its experiments use favorable network conditions. The context does not establish how reliably this would identify shared-resource causes of remote robot inference tails or distinguish them from other delay sources."
arxiv:1202.2153,Caracterizac~ao de tempos de ida-e-volta na Internet,https://arxiv.org/abs/1202.2153,"Round-trip times (RTTs) are an important metric for the operation of many applications in the Internet. For instance, they are taken into account when choosing servers or peers in streaming systems, and they impact the operation of fault detectors and congestion control algorithms. Therefore, detailed knowledge about RTTs is important for application and protocol developers. In this work we present results on measuring RTTs between 81 PlanetLab nodes every ten seconds, for ten days. The resulting dataset has over 550 million measurements. Our analysis gives us a profile of delays in the network and identifies a Gamma distribution as the model that best fits our data. The average times observed are below 500 ms in more than 99% of the pairs, but there is significant variation, not only when we compare different pairs of hosts during the experiment, but also considering any given pair of hosts over time. By using a clustering technique, we observe that links can be divided in five distinct groups based on the distribution of RTTs over time and the losses observed, ranging from groups of near, well-connected pairs, to groups of distant hosts, with lower quality links between them.",firecrawl,n14,2,"Periodically probe host pairs for RTT and loss, then cluster links by their RTT distributions over time and observed losses.","Repeated RTT and loss observations characterize link variability over time and distinguish broad link-quality profiles. They can reveal whether elevated request latency coincides with a degraded network path, but do not identify retransmissions or endpoint stalls.","Add timestamped active probes between robot and inference-server endpoints, and compare their RTT/loss series with request latency. This supplies a network-path signal alongside request timing, without assuming access to private infrastructure.","In a controlled Root test, inject network delay and loss separately from server queueing or compute delays. Compare request-latency changes with periodic robot-to-server RTT/loss measurements and assess whether the measurements distinguish network degradation from server-side delay.","we present results on measuring RTTs between 81 PlanetLab nodes every ten seconds, for ten days.",Abstract,UNKNOWN,UNKNOWN,"The supplied context supports periodic RTT/loss measurement and clustering, but gives no packet- or ACK-level event sequences, method details for the clustering, or evidence that it separates network delay from endpoint stalls. The n13 transfer to robot-to-cloud action loops is plausible but not demonstrated."
